Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-A4_1_12071.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-B4_1_12072.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-C4_1_12073.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-D4_1_12074.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-E4_1_12075.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-F4_1_12076.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-G4_1_12077.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-H4_1_12078.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-A8_1_12079.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-B8_1_12080.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-C8_1_12081.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-D8_1_12082.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-E8_1_12083.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-F8_1_12084.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-G8_1_12085.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-H8_1_12086.d
O00487	PSDE_HUMAN	PSMD14	Ubiquitin C-terminal hydrolase PSMD14	2	1	1604.88	1753.77	1330.17	2042.19	1736.61	1870.84	1632.03	1500.12	1595.81	1483.94	1250.62	1782.15	1433.27	2077.72	1496.38	1565.35
O00541	PESC_HUMAN	PES1	Pescadillo homolog	3	3		798.509	544.324	570.047	817.883	662.269	789.54	813.979	726.249	730.863	541.372	713.766	612.844	722.713	656.866	482.268
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	2	2		791.076	525.188	652.37					445.444		396.149	351.957			606.861	
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	15	4	7878.8	7793.53	7887.37	8034.48	7575.48	8403.88	8088.04	7596.15	6826.76	7107.42	7259.98	7104.91	7441.35	7033.78	7248.56	7520.17
O00625	PIR_HUMAN	PIR	Pirin	2	2	887.642			1065.75	928.766	1056.26			1332.1	1058.08	1011.28	830.605	984.47	940.886		1111.11
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	2	2	2113.23	1704.94	1248.23	1533.6	1560.21	1998.05	1836.37	1947.1	2062.57	2468.11	2411.76	2059	2155.52	2252.79	2141.42	1812.19
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	4	4	3686.15	4071.71	2812.13	2165.41	2533.16	2709.39	2345.76	2166.54	2846.67	3292.52	2912.45	2673.07	1895.25	2760.09	2623.24	3051.37
O13535;O74302;P0C2I2;P0C2I3;P0C2I4;P0C2I5;P0C2I6;P0C2I8;P0C2I9;P0C2J0;P0C2J1;P0CX57;P0CX58;P0CX59;P0CX60;P0CX65;P0CX66;P0CX67;P0CX68;P0CX69;P0CX70;P0CX71;P0CX72;P0CX73;P0CX74;P0CX75;P0CX76;P47098;P47099;P47100;Q03434;Q03612;Q03619;Q03855;Q03856;Q04670;Q04706;Q04711;Q07793;Q12085;Q12088;Q12141;Q12193;Q12217;Q12269;Q12273;Q12316;Q12414;Q12441;Q12470;Q12485;Q6Q5H1;Q92392;Q92393;Q99231;Q99337	YA11A_YEAST;YB12A_YEAST;YB12B_YEAST;YD11A_YEAST;YD11B_YEAST;YD12A_YEAST;YD12B_YEAST;YD13A_YEAST;YD13B_YEAST;YD14A_YEAST;YD14B_YEAST;YD15A_YEAST;YD15B_YEAST;YE11A_YEAST;YE11B_YEAST;YE12A_YEAST;YE12B_YEAST;YG11A_YEAST;YG11B_YEAST;YG12A_YEAST;YG12B_YEAST;YG13A_YEAST;YG13B_YEAST;YH11A_YEAST;YH11B_YEAST;YJ11A_YEAST;YJ11B_YEAST;YJ12A_YEAST;YJ12B_YEAST;YL11A_YEAST;YL11B_YEAST;YL12A_YEAST;YL12B_YEAST;YL13A_YEAST;YL13B_YEAST;YL14A_YEAST;YM11A_YEAST;YM11B_YEAST;YM12A_YEAST;YM12B_YEAST;YM14A_YEAST;YM14B_YEAST;YN12A_YEAST;YN12B_YEAST;YO11A_YEAST;YO11B_YEAST;YO12A_YEAST;YO12B_YEAST;YP11A_YEAST;YP11B_YEAST;YP12A_YEAST;YP12B_YEAST;YP13A_YEAST;YP13B_YEAST;YP14A_YEAST;YP14B_YEAST	TY1A-A;TY1A-BR;TY1A-DR1;TY1A-DR3;TY1A-DR4;TY1A-DR5;TY1A-DR6;TY1A-ER1;TY1A-ER2;TY1A-GR1;TY1A-GR2;TY1A-GR3;TY1A-H;TY1A-JR1;TY1A-JR2;TY1A-LR1;TY1A-LR2;TY1A-LR3;TY1A-LR4;TY1A-ML1;TY1A-ML2;TY1A-MR2;TY1A-NL2;TY1A-OL;TY1A-OR;TY1A-PL;TY1A-PR1;TY1A-PR2;TY1A-PR3;TY1B-BR;TY1B-DR1;TY1B-DR3;TY1B-DR4;TY1B-DR5;TY1B-DR6;TY1B-ER1;TY1B-ER2;TY1B-GR1;TY1B-GR2;TY1B-GR3;TY1B-H;TY1B-JR1;TY1B-JR2;TY1B-LR1;TY1B-LR2;TY1B-LR3;TY1B-ML1;TY1B-ML2;TY1B-MR2;TY1B-NL2;TY1B-OL;TY1B-OR;TY1B-PL;TY1B-PR1;TY1B-PR2;TY1B-PR3	Transposon Ty1-H Gag-Pol polyprotein	2	0	2119.62	2395.89	1926.68	1716.58	1428.19	2029.53	2160.51	2043.55	1105.72	916.662	1205.15	1152.15	1433.94	957.594	1170.76	1183.59
O14455;P05745	RL36A_YEAST;RL36B_YEAST	RPL36A;RPL36B	Large ribosomal subunit protein eL36B	4	0	6309.06	7345.11	6741.1	6834.22	6944.14	6648.15	7279.17	6499.72	3777.06	3373.2	3382.15	3539.52	3108.26	2169.6	3112.57	3710.23
O14467	MBF1_YEAST	MBF1	Multiprotein-bridging factor 1	2	2	1026.99	988.878	1444.83	1316.69	1330.85	1426.98	1539.74	1413.24	948.641			787.269	1002.88	727.275	657.072	830.151
O14519	CDKA1_HUMAN	CDK2AP1	Cyclin-dependent kinase 2-associated protein 1	1	1		2124.25	1017.34	1104.58	894.367	934.168	883.719	1367.01	1042.51	744.976	908.796	621.705	697.786	1058.52	1098.49	726.534
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	1	1	172.998	485.547	251.341		141.881				271.476		207.243			207.634		190.837
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	2	2	1213.84	1168.33	1837.24	1499.77	1127.94	1021.48	1556.26	1192.62	1133.54	1520.37	1782.98	1263.33	1323.58	1712.46	1284.21	1172.65
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	1	1				1431.9		1373.17			1343.05	1340.5	1170.69	1970.36	1538.75	1291		2155.75
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	4	4	2353.28	2193.63	2494.92	2247.51	1872.99	2328.8	2355.23	2346.09	1909.34	1867.08	1819.19	1706.2	1882.8	1673.91	1977.4	1958.54
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	3	3	634.666	636.081	625.509	825.377	689.916	658.398	594.325	709.699	900.498	761.684	870.449	1212.59	877.195	896.409	1040.55	949.254
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	2	2	414.317	644.792	524.525		541.402	644.946	535.141	835.044	456.328		694.571	466.71	475.493	625.951		
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	2	2					726.32	677.259			664.168	558.54		543.898	757.883		1035.16	466.047
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	6	4	3842.23	3923.27	4035.08	3732.47	4377.7	4616.29	4111.91	4613.01	3746.31	3864.15	4416.86	4444.29	4344.47	3805.12	4188.06	4420.1
O14925;Q5SRD1	TI23B_HUMAN;TIM23_HUMAN	TIMM23;TIMM23B	Mitochondrial import inner membrane translocase subunit Tim23	1	0				382.942							423.993			257.779		
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	2	2	1221.83	760.882	1006.41	1105.5	1329.78	612.286	1020.72	1333.57	1014.9	1187.39	718.822	863.845	684.366	1123.07	923.435	1104.08
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	6	0	866.009	1109.9	1421.78	1130.2	1010.64	1158.21	1044.28	945.313	811.569	1049.52	620.024	774.259	1013.95	842.805	1034.21	1093.69
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	3	3	806.977	250.815	432.326	967.805	1001.04	975.978	410.725		925.044	941.729	1023.65	779.122	862.183	950.89	901.456	900.603
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	8	5	7149.37	6338.97	5750.61	5990.31	7091.33	7318.23	7425.92	7003.14	7560.8	6763.69	5638.61	6553.76	5915.95	6652.71	6580.52	6238.15
O14980	XPO1_HUMAN	XPO1	Exportin-1	9	9	3971.91	3258.74	3159.62	3047.04	2658.83	3597.43	3237.18	2881.9	3354.84	2830.06	2960.83	2978.6	3473.41	2995.19	2892.21	2461.9
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	4	4	1760.32	1532.77	1923.43	1677.4	1157.98	1258.82	1390.39	1676.95	2048.43	1814.27	2106.6	2127.72	1744.93	1829.63	1805.85	2381.23
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	5	5	939.34	769.931	749.134	922.576	787.529	748.195	767.889	721.301	719.256	813.011	1049.34	668.83	822.777	816.374	864.233	
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	1	1					357.931	403.38			702.01		618.561	558.258	285.034	399.278		441.083
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	2	2	656.284	878.934	984.547	927.137			887.434		492.494	537.929	574.493	827.58	685.018	726.952	852.292	703.231
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	2	2	1121.27	1019.79	963.131	910.243	1104.08	959.23	1155.51	1010.54	925.939	1040.16	905.292	849.345	1308.48	911.515	1055.15	1276.04
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	5	5	2300.47	2136.74	2433.27	2523.92	2143.24	2608.07	2029.12	2183.44	2170.12	2085.18	2790.06	2666.17	2452.12	2309.59	2662.77	2517.17
O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2	1	1	802.319	805.848	698.967	1164.86	760.224	1016.67	909.927	683.407	1062.18		948.866	880.75	623.058	365.97	792.021	1340.67
O15318	RPC7_HUMAN	POLR3G	DNA-directed RNA polymerase III subunit RPC7	1	1									1167.59				560.85	548.158		
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	2	2	4221.08	4340.99	4301.83	5140.2	4305.32	4526.66	4185.92	3683.86	2592.35	3371.09	4518.27	4324.58	3918.76	4029.91	4395.49	4423.83
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	2	2		1591.81	1402.32	1379.44	1055.44	1026.94	969.381	1291.6	1343.17	1414.02	2347.06	1517.81	1492.29	1177.25	1919.72	1663.68
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	4	4	2032.1	1428.57	1792.95	1608.48	1347.04	1864.96	1743.68	1562.3	1822.43	1520.77	1850.6	1614.37	1318.26	1693.76	1511.48	1715.98
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	3	3	1699.6	1969.75	2131.95	1721.53	2041.24	1901.51	1974.59	2641.51	2095.06	1740.43	2170.4	2270.85	2429.35	2029.14	2312.56	1745.17
O15479	MAGB2_HUMAN	MAGEB2	Melanoma-associated antigen B2	1	1	1590.17	1604.84	2272.36	1700.43	1411.06	1290.1	1349.24	1199.31	1263.27		1151.91	1397.82	686.475	1302.03	1209	1464.99
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	1	1	624.977	548.109	765.867		692.51		709.872	556.529	394.615	622.466	634.895		690.182	306.878	390.644	606.912
O15514	RPB4_HUMAN	POLR2D	DNA-directed RNA polymerase II subunit RPB4	1	1						576.48				535.314	520.947	354.671	413.133	532.991	577.781	609.526
O43137	YB085_YEAST	YBR085C-A	Uncharacterized protein YBR085C-A	2	2	1114.85	1298.56	1374.81	1265.16	990.092	1326.57	1613.83	819.827	586.933	621.117		669.523	921.492	533.055	465.929	645.636
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	3	3	897.837	1093.63	850.267	1026.63	631.162	886.376	708.253		949.384		700.147		1072.49	888.743	395.204	731.357
O43156	TTI1_HUMAN	TTI1	TELO2-interacting protein 1 homolog	1	1									816.618	663.557			383.906	696.567	756.275	
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	4	4	1204.92	1167.87	1108.99	935.053	1009	1329.78	1067.45	1074.58	1371.62	1248.08	1362.55	1117.13	1407.41	1271.16	1412.63	1484.3
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	6	6	1525.3	1289.89	1541.34	1456.41	1677.19	1260.84	1471.95	1383.09	1386.52	1222.67	1677.59	1394.94	1050.89	1140.89	1020.59	1356.05
O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	2	2	432.882						401.833		364.71	913.41	371.052	487.511	658.571	255.177	434.596	346.832
O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	3	3	1143.22	838.031	1156.87	1230.69	569.826	1262.21	789.272	857.232	869.981	850.572	915.71	645.083	1077.05	733.471	884.384	815.562
O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	19	13	4847.44	4334.57	4396.01	4632.83	4717.54	4821.74	4473.2	4070.14	4892.69	4569.98	5362.82	5168.65	4674.44	4806.5	4826.61	4797.03
O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	3	3	676.444		622.47	849.651	831.962		890.259	715.387	1147.49	1090.08	637.561	713.733	257.332	518.9	582.322	506.37
O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	4	4	1275.91	872.641	1276.18	1017.64	860.868	790.307	1102.08	1139.78	937.89	886.693	1039.79	920.753	1050.44	829.371	873.227	779.489
O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	3	3	1285.99	891.805	890.127	984.806	940.211	861.43	1094.84	998.77	1306.85	721.265	1077.76	1119.78	1044.05	1278.95	1067.03	1146.68
O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	1	1			983.867	772.026	937.506	1255.74	1634.8	1516.12	1211.87			958.664	1036.7	685.73	524.026	603.096
O43583	DENR_HUMAN	DENR	Density-regulated protein	1	1		851.265		515.67		663.958	594.687		889.874	745.253	747.04	737.77		623.731		
O43592	XPOT_HUMAN	XPOT	Exportin-T	1	1	1990.94	814.518	1152.48	1287.32	1096.57	1023.75	925.622	1001.61	1014.73	1089.44	1016.76	829.538	897.341	895.363	1377.42	1372.54
O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	3	3	631.548		616.741	882.373	990.039	915.786		850.429	668.032			382.926	631.625	626.974	449.386	
O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	1	1	925.331	1306.37	1008.59	1307.41	1150.15	789.193	1053.02	762.621	1047.21	1159.19	1033.53	620.081	953.913	837.286		786.303
O43681	GET3_HUMAN	GET3	ATPase GET3	1	1											1476.1			311.765	694.598	
O43684	BUB3_HUMAN	BUB3	Mitotic checkpoint protein BUB3	3	3	662.803	604.108	602.011	443.175	703.403	575.204	729.428	554.962	562.852	677.777	1189.1	936.894	509.037	1047.2	803.277	888.084
O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	18	13	5010.44	4225.78	4845.73	4664.28	4449.02	4618.37	4435.35	4175.49	5038.01	4781.62	4617.86	4663.16	5160.95	4436.14	4894.92	4580.88
