Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-A1_1_12125.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-B1_1_12126.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-C1_1_12127.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-D1_1_12128.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-E1_1_12129.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-F1_1_12130.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-G1_1_12131.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-H1_1_12135.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-A5_1_12136.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-B5_1_12137.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-C5_1_12138.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-D5_1_12139.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-E5_1_12140.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-F5_1_12141.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-G5_1_12142.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-H5_1_12143.d
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	28	28	24895.5	27320.6	27525.5	25604.2	25825.4	27020.1	28442.1	28385.2	25805.1	25713.4	27331.3	26586.5	26501.6	26760.2	25862.1	27089.4
A2VDF0	FUCM_HUMAN	FUOM	Fucose mutarotase	3	3	5715.63	4795.22	6531.77	7973.78	8283.19	6573.32	7147.24	5842.14	7541.28	6407.58	7365.63	7481.01	7620.02	8302.12	7034.93	7118.65
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	2	2		4603.49	4033.7	5876.34	4107.75	5125.61	3086.16	3475.12	3597	3611.78	3743.05	2995.6	3620.38	4573.25	4323.08	4423.38
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	28	24	34039.7	37050	36007.8	37216.8	38409.5	35228.3	34960.5	34522.1	34699.6	33966.7	35410.8	38144.9	34690.7	35573.1	36331.7	35553.4
A4D126	ISPD_HUMAN	CRPPA	D-ribitol-5-phosphate cytidylyltransferase	3	3	26369.9	25127.3	20712.5	29712.4	26560.8	22882.6	22770.6	33328.7	38585.1	33269.4	26349	29801.2	34014.6	34285.9	35122.5	41662.2
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	16	16	76675.9	77195	74017.6	73107	78395	79414.4	71231.4	75040.2	74016.8	76104.1	73909.4	79264.4	74624.3	77341.9	76141.1	78055.1
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	11	11	13762.6	13447.8	15956.3	13849.3	15161.9	15131.9	13979.1	14127.7	16154.4	18994.1	16696.1	16421	14954.2	14684.6	16536.7	14914.5
A5A613	YCIY_ECOLI	yciY	Uncharacterized protein YciY	1	1						1776.66	2033.65	2857.67	6094.72	2653.67	3164.07	4303.71	3436.68	3713.17	2632.28	
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	2	2	22119.6	21155.4	23322.5	23865.4	22578.1	20589.9	24158.8	23584.9	21925.5	21334.6	22781.5	21580.7	23221.2	22753	21903.5	23498.7
A5D8V7	ODAD3_HUMAN	ODAD3	Outer dynein arm-docking complex subunit 3	1	1	35300.2	33605.6	32322.3	31175.5	34178.8	21759.2	30789.7	26903.9	30878.7	31514.6	32644.9	33233	29646.3	29064.6	29952.9	30502.4
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	1	1	2317.67	2179.33	3421.39	2602.92	2705.28	2537.64	2302.57	2643.32	3188.69		2777.83	6340.19	3290.06	3162.24	3612.95	2630.52
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	50	50	52936.6	50439.8	51002.1	51307.3	50979	52979	51374.8	53055.5	50323.2	52134.6	51780.5	53378.9	52504	51114.2	50802.6	51408.3
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated protein 1 light chain 3 beta 2	5	0	236656	263775	250069	251286	272316	252294	220161	249810	270974	243603	237122	267681	258129	255948	258030	257507
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	9	9	41454	44542.3	43010.1	43495.5	40453	42743.9	42593.4	40168.1	43771.9	45438.4	44009.1	46643.5	43492.1	47449.2	44640.9	46073.5
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	7	7	17573.8	23089.4	21332.8	22723.3	19941.6	21470	23283.7	22501.4	22038.9	18780.1	17190	21147.6	22343.9	23577.4	20136.5	22174.9
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	4	4	17925.6	16094.4	21330.5	18828.5	17388.4	18365.2	16892.6	19960.1	17593.3	15806.9	14920.9	16610.9	15038.4	20003.9	17984.9	17035.3
A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	2	2	27539.3	21869.2	23745.4	22671.8	18742.4	20923.3	24258.5	24156.4	23199.8	22560	20992.6	24075	22765.4	18891.6	19464.1	19156.3
A6NFQ2	TCAF2_HUMAN	TCAF2	TRPM8 channel-associated factor 2	2	2	4533.44	4384.17	4458.41	4644.06	4530.85	6006.06	5568.58	5810.76	6287.99	5458.18	6579.16	7403.39	4889.29	4549.84	7534.56	6927.36
A6NGB9	WIPF3_HUMAN	WIPF3	WAS/WASL-interacting protein family member 3	2	2	5996.06	5209.69	6880.8	6513.37	5360.96	6093.44	6486.65	7584.31	5218.8	6444.57	6959.91	6993.07	4365.67	9105.88	4681.78	7215.65
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	74	74	89142	89636.2	89349.4	88875.9	89130	86352.5	90137.2	87798.4	89529.5	86098	87158.4	90020.7	88731.9	86879.4	88272.9	87856.6
A6NHT5	HMX3_HUMAN	HMX3	Homeobox protein HMX3	3	3	19249.8	19886.9	30687	26270.1	28948.4	24922.2	26538.6	32957.7	28041.7	29093.2	22947.1	24394.5	22707.9	29666.2	25153.3	27308.5
A6NHX0	CAST2_HUMAN	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2	1	1	3840.98	5452.74	4235.99	5356.51	5109.52	4207.39	4958.41	4340.6	4948.34	4309.65	4724.55	5644.85	5576.04	5576.42	4300.97	5843.29
A6NI56	CC154_HUMAN	CCDC154	Coiled-coil domain-containing protein 154	1	1				12249.9				16765.5	13740.1		13951.1					
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	3	2	15571.4	17151.2	15225.3	17687	15084.1	13787.3	14782.2	12921.5	19013.3	16985.5	12506.5	15895.2	17023.8	19142.6	18668	19188.2
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N(4)-cytidine methyltransferase METTL15	5	5	9448.16	12355.8	11171	11177.7	10440.7	9928.96	11644	11934.6	8928.22	10186.1	8736.41	9832.02	9436.15	9733.53	9868.25	11489.7
A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C	5	5	9436.07	7746.95	10529.1	11865.8	9821.36	9655.35	11673.3	12459	11924.5	10333.3	10940	12815.8	8942.67	9290.34	10414.4	10409.7
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	2	2	5012.1	8821.04	4786.79	8685.43	8259.14	9235.95	4998.13	7846.11	9074.16	7123.26	8068.5	5258.02	7954.93	8765.83	5081.66	7350.97
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	1	1		2751.14	1702.76	2027.85	2980.48	2278.69	2071.74	2868.92	4401.5	2352.39	2120.22	1934.96	1368.27	1792.26	1708.75	1983.64
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	2	1	7901.36	12346.1	8804.28	8553.2	9183.41	14862.5	13368.7	9732.65	10083.6	10228.8	9465.07	9865.29	13319.7	12098.3	10441	10454.3
A8K0S8	ME3L2_HUMAN	MEIS3P2	Putative homeobox protein Meis3-like 2	1	0		3152.69		5069.94	2356.09	3782.49		3659.59	1497.8	3370.12	3757.46	3280.46	4805.9	3247.56	4052.57	3868.14
A8MPS7	YDJC_HUMAN	YDJC	Carbohydrate deacetylase	5	5	37345.5	44746.7	38184.7	36169.5	35947.2	37610.8	34486.8	39558.7	43961	42751.2	37751.4	44265.3	39131.8	38063	41476	37292.3
A8MT69	CENPX_HUMAN	CENPX	Centromere protein X	4	4	13839.1	13687.8	16110.5	17818.9	15529.7	19849.7	15018.1	17091.7	14937.1	12092	14925.6	13842.1	12991.4	14356.2	13160.6	15245
A8MTT3	CEBOS_HUMAN	CEBPZOS	Protein CEBPZOS	1	1	5000.02				6294.37		5869.78		5600.31	5715.41	5876.86	5081.9	4192.71	4996.12	5116.04	5035.35
A8MVW0	F1712_HUMAN	FAM171A2	Protein FAM171A2	1	1	1475.85	2212.25	2058.08	2992.01	1855.87	2571.44		3472.84	2138.98	3145.94	2835.77	1536.46	2579.27	2981.97	2140.84	3114.14
A8MW92	P20L1_HUMAN	PHF20L1	PHD finger protein 20-like protein 1	2	2	6949.21	10040	9693.21	8330.27	9924.22	7931.49	9781.55	7165.54	8927.31	8949.56	5594.31	7242.78	7409.36	7699.72	10728.9	5989.4
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	3	0	15571.6	8329.2	15368.6	13515.6	19853	8609.04	7230.36	17360.7	23266.7	21304.4	24894.4	23204.2	18506.1	22498.3	21377	20940.6
A8MWX3	WASH4_HUMAN	WASH4P	Putative WAS protein family homolog 4	4	0	42310.8	40097.9	32166.1	33597.5	33485.4	33356.3	35539.3	39485.3	35111.3	37108.8	31219.1	33454.1	32946.6	32974	32149.2	37187.6
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	4	4	13515.2	15512.1	13170.9	14163.8	12597.7	12710.7	14331.8	14822.9	14231.4	16243.5	16164	15951.3	14679.5	17336.5	13306.5	16468.8
A9QM74	IMA8_HUMAN	KPNA7	Importin subunit alpha-8	1	1			11750			16341.3	23168.5				25825					
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	3	3	15638	17897	16013.5	13066.6	13626.7	17977.2	16024.1	14194.3	7432.65	11730.6	12183.7	14825.4	12996.8	14481.7	14489.2	11563.7
B2RBV5	MR1L2_HUMAN	MRFAP1L2	MORF4 family associated protein 1 like 2	2	2	14010	10260.9	12248	7092.19	14195.3	13581.8	8446.87	9456.12	10462		8564.55	11026.1	6657.39	10450.6	8937.66	9243.81
B2RUZ4	SMIM1_HUMAN	SMIM1	Small integral membrane protein 1	2	2	14777.7	16641.4	18593.3	15300.8	18545.2	22982.4	18717.5	17680.8	14932.9	13605.9	12384.3	11848.6	13197.3	11716.1	12169.1	15041.9
B7ZAP0	RBG10_HUMAN	RABGAP1L	Rab GTPase-activating protein 1-like, isoform 10	3	3	8724.95	9413.5	10119.9	9490.73	10489.9	9639.81	10028	11037.9	10422.4	9232.76	8026.96	8266.54	9142.31	9127.36	10035.3	8973.27
B7ZW38;P0DMR1;O60812	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 3	1	0	21731.2	107716	134020	56653.1	128108	132586	71303	112952	84141.9	82013.4	57291.5	50862	99709.5	95028	111816	130250
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	4	0	22222.6	29510.7	33876.8	32630	30816.9	30560.9	28876	32088	32720.3	30685.2	25924.2	30086.2	27769.1	28508	27681	31276.3
C9J7I0	UMAD1_HUMAN	UMAD1	UBAP1-MVB12-associated (UMA)-domain containing protein 1	1	1	24684.1	28123.9	26119.4	28432.1	26624.3	31094.7	23576.5	26289.7	26200.8	29714.7	25504.4	29264.3	28119.9	28727.8	27211.7	26366.7
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	4	4	71289.9	66142.3	67464.5	64226	63753.8	65626.7	62080.8	65196.5	63742.3	66165	60475.6	61352.1	63243.9	57651.2	56597	59063.8
C9JQL5	DSA2D_HUMAN		Putative dispanin subfamily A member 2d	1	1	2135.08	6508.63	5704.83	4013.91	3843.32	5541.78	2661.87	4563.58	3308.69	2708.5	2474.48	1039.35	2720.32	2369.16	3707.83	3386.44
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	7	6	1.43457e+06	1.43541e+06	1.46362e+06	1.44317e+06	1.43145e+06	1.48135e+06	1.40943e+06	1.53182e+06	1.4181e+06	1.45776e+06	1.40613e+06	1.41874e+06	1.47075e+06	1.42655e+06	1.47575e+06	1.4741e+06
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	9	9	39992.1	39217.5	39520.7	41606	41286.5	37657.8	36918.1	41306.9	42438.1	41091	45264.3	43811.2	41453.9	44059.6	42856.8	41191.7
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	5	5	51712.1	50744.1	45451.6	48761	48818.8	44392.1	48964.6	48809.6	48797.1	49742.5	46996.6	50860.6	53857.4	51699.2	50976.3	47737.8
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	5	5	39008.9	44644.6	39937.5	38335.8	39692.5	39541.2	37851.1	41450.3	39541.2	39493.4	35862.2	38897.8	40927.8	41070	40768.7	41354.4
L0R8F8	MIDUO_HUMAN	MIEF1	Mitochondrial ribosome and complex I assembly factor AltMIEF1	4	4	66793.6	64782.9	61553.9	56686.7	65793.6	54172.4	60419.9	48495.2	60810.6	59213.4	55639.4	51172.1	50599	61162.6	46110.9	46983.6
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	5	5	56717.6	58520.8	55326.8	56239.5	54245.8	55044.1	55394.9	51250.9	49615.4	53930.8	51330.7	54345	52770.7	53126.3	52094.2	54046.7
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	25	25	61525.4	63556.3	61150.6	62449.3	63732	62798.8	61157.5	61610.6	62063.6	66856.3	68069.8	66095	65742.4	64887.7	65028	65400.6
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	17	16	54787.4	58605.4	57350.8	56184.2	53466.4	52725.2	51054	57676.4	57085	55543.8	53244.4	54849.6	56692.3	55931	53797.5	57574.4
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	11	11	410434	434223	424839	426534	426320	434285	429441	440391	453513	463389	445146	453516	460502	454942	462575	460408
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	16	16	447037	444709	439213	452342	452341	450637	449208	435513	443199	439383	441269	442214	445673	451961	440337	439500
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	15	14	193766	189730	202681	215643	205037	218047	212196	215663	212579	215555	220536	229530	209821	215847	208976	212821
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	10	10	18861.4	19831.2	19789.4	17865.3	21611.3	17959.6	18653.9	19035	20719.5	18804.9	19404.3	19672.8	16869.1	18179.7	18743.9	18625.3
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	11	11	149407	159066	162579	158998	152970	170961	159230	151853	147396	144093	155689	154802	160806	160125	151436	162617
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	5	5	83464.4	83270.6	81656.7	81388	77882.8	87594.2	84673.6	79058.9	82619.8	83251.4	76522.8	77357.4	76215	84820.1	76997.9	75542.5
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	15	15	107202	109454	104204	105145	104262	102852	106617	104607	99058.9	95552.5	93598.5	92365.2	92004.1	97328.6	97329.8	95326.5
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	13	13	36940.2	37147.1	32649.7	33218.4	31253.4	36238	35286.6	31126.7	33989.9	35139.5	36353.8	34510.4	34521.2	34491.6	35965	37015.7
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	15	15	67659.1	62914.4	65028.2	58000.9	62678.9	62419.3	63433.7	62077.8	60501.7	61161.4	62195.7	62792.1	62331.6	62773.9	63004.8	64707.4
O00192	ARVC_HUMAN	ARVCF	Splicing regulator ARVCF	2	2	9472.05	9187.21	11997.8		14591.7	12359.6	7888.25	12350.8	11661	10603.4	10953.7	11834.9	6392.67	9258.43	7702.42	9288.6
O00193	SMAP_HUMAN	SMAP	Small acidic protein	5	5	241385	253966	263934	245825	249865	226664	239664	264141	244105	253237	240267	239523	256646	262850	240470	255958
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	31	26	74035.9	75636.7	76354.5	72764.4	76165.2	69488	71222.4	71910.5	72745.4	73251.6	71863.8	72984.5	72869.5	71716	69605	70987.1
O00214	LEG8_HUMAN	LGALS8	Galectin-8	5	5	31345.6	33004	35452.4	34093.7	34168.5	31055.4	30929.2	34085.6	38070.7	29130.1	28821.4	32942	29598.2	30518.9	32843.8	31816.6
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	5	5	65106.6	61402.1	58594	70308.5	62949.7	64063.9	65680.5	54785.6	70472.8	66929.5	70916.5	76484.4	66529.2	71048.1	73958.3	74165
O00221	IKBE_HUMAN	NFKBIE	NF-kappa-B inhibitor epsilon	4	4	11673.1	12428.5	12624	11605.6	13801.1	12240	14840.5	14635.2	12818.3	11297.7	12348.3	12060.4	10949.9	11961.8	13582.5	14590.7
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	34	33	472507	473931	489474	474032	485148	479627	477266	520922	480231	474222	475430	487365	478439	470445	473372	493963
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	21	21	183339	168860	161382	176250	161647	170446	178558	168793	173500	181386	187498	191275	175431	173195	177110	177562
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	13	13	189439	187620	189949	186387	189510	189592	188365	182429	178847	175677	169616	175180	177044	175577	166929	179357
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	8	8	167150	167681	159390	165965	169895	169295	175486	162681	169830	169340	173779	179924	175479	174407	175910	173040
O00255	MEN1_HUMAN	MEN1	Menin	6	6	20486.5	23173.4	21401.8	22550.4	22176.1	24243.6	22601.9	24570.8	18631.8	21640.8	20094.5	21212.1	19693.6	18337.4	18991.9	21391.2
O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	8	8	19868.7	19270.6	23738.4	22350.3	22208.3	22335	24095.1	24069.4	19855.2	21949.1	20888.9	22658.8	18054.9	23568.9	23773.8	22574.5
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	7	5	93784.2	94896.6	90431.7	87382.5	93755.6	95915.5	91787.7	89449.9	89238.7	85851	83298.2	84731.9	93049.6	87266.1	86163.7	86290.9
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	45	45	84536.9	86303.8	86258	89932.9	88362.2	88813	89118.9	86527.2	86735.2	90769.4	91325	91323.4	90603.5	88034.4	90005.1	90818.6
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	13	11	30447	32372.5	31841.2	29386.3	33146.6	31102.6	31481.6	33754.2	32292.3	31303.8	32140.7	30385.3	29832.5	32721.6	32307.9	33272.5
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	15	15	151341	157229	158476	149331	157848	157331	149116	160887	149718	148199	146403	151725	146159	143403	147789	149451
O00287	RFXAP_HUMAN	RFXAP	Regulatory factor X-associated protein	1	1	3259.08			6866.76	7771.16	4782.17	5463.66	9670.13	11634.3	7657.46	5713.69	6226.66	6907.89	7681.43	6551.1	2505.87
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	14	13	20204.3	20767.7	19743.5	20240.7	20869.2	20606.2	20770.8	21411.5	18729	20920	20081	19822.3	19977.1	20838.5	20701.4	18252.6
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	19	19	3.47202e+06	3.61687e+06	3.66554e+06	3.61088e+06	3.64478e+06	3.75227e+06	3.55246e+06	3.56248e+06	3.63956e+06	3.57807e+06	3.57276e+06	3.6619e+06	3.68622e+06	3.65008e+06	3.64421e+06	3.76028e+06
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	16	16	285548	277433	289686	303306	281505	295089	306857	302566	319140	321320	340284	352420	310347	325603	329020	330082
O00308	WWP2_HUMAN	WWP2	NEDD4-like E3 ubiquitin-protein ligase WWP2	3	3	26604.7	26893.7	26494.3	27120.9	28173.4	29431.2	26899.1	29313.1	30952.3	24753.7	28251.4	24058.7	28076.3	28266.5	29153.4	28350.9
