Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A10_1 Spectral Count	A10_2 Spectral Count	A10_3 Spectral Count	A10_4 Spectral Count	A10_5 Spectral Count	A10_6 Spectral Count	A10_7 Spectral Count	A10_8 Spectral Count	B10_1 Spectral Count	B10_2 Spectral Count	B10_3 Spectral Count	B10_4 Spectral Count	B10_5 Spectral Count	B10_6 Spectral Count	B10_7 Spectral Count	B10_8 Spectral Count	A10_1 Unique Spectral Count	A10_2 Unique Spectral Count	A10_3 Unique Spectral Count	A10_4 Unique Spectral Count	A10_5 Unique Spectral Count	A10_6 Unique Spectral Count	A10_7 Unique Spectral Count	A10_8 Unique Spectral Count	B10_1 Unique Spectral Count	B10_2 Unique Spectral Count	B10_3 Unique Spectral Count	B10_4 Unique Spectral Count	B10_5 Unique Spectral Count	B10_6 Unique Spectral Count	B10_7 Unique Spectral Count	B10_8 Unique Spectral Count	A10_1 Total Spectral Count	A10_2 Total Spectral Count	A10_3 Total Spectral Count	A10_4 Total Spectral Count	A10_5 Total Spectral Count	A10_6 Total Spectral Count	A10_7 Total Spectral Count	A10_8 Total Spectral Count	B10_1 Total Spectral Count	B10_2 Total Spectral Count	B10_3 Total Spectral Count	B10_4 Total Spectral Count	B10_5 Total Spectral Count	B10_6 Total Spectral Count	B10_7 Total Spectral Count	B10_8 Total Spectral Count	A10_1 Intensity	A10_2 Intensity	A10_3 Intensity	A10_4 Intensity	A10_5 Intensity	A10_6 Intensity	A10_7 Intensity	A10_8 Intensity	B10_1 Intensity	B10_2 Intensity	B10_3 Intensity	B10_4 Intensity	B10_5 Intensity	B10_6 Intensity	B10_7 Intensity	B10_8 Intensity	A10_1 MaxLFQ Intensity	A10_2 MaxLFQ Intensity	A10_3 MaxLFQ Intensity	A10_4 MaxLFQ Intensity	A10_5 MaxLFQ Intensity	A10_6 MaxLFQ Intensity	A10_7 MaxLFQ Intensity	A10_8 MaxLFQ Intensity	B10_1 MaxLFQ Intensity	B10_2 MaxLFQ Intensity	B10_3 MaxLFQ Intensity	B10_4 MaxLFQ Intensity	B10_5 MaxLFQ Intensity	B10_6 MaxLFQ Intensity	B10_7 MaxLFQ Intensity	B10_8 MaxLFQ Intensity	Indistinguishable Proteins
contam_contam_sp|P00915|CAH1_HUMAN	contam_contam_sp|P00915|CAH1_HUMAN Carbonic anhydrase 1 OS=Homo sapiens OX=9606 GN=CA1 PE=1 SV=2	contam_contam_sp|P00915|CAH1_HUMAN Carbonic anhydrase 1 OS=Homo sapiens OX=9606 GN=CA1 PE=1 SV=2		261			contam_contam_sp|P00915|CAH1_HUMAN Carbonic anhydrase 1 OS=Homo sapiens OX=9606 GN=CA1 PE=1 SV=2	1.0	0.999	5	39	39	39	2	1	6	1	3	3	4	2	1	3	1	1	2	2	2	5	2	1	6	1	3	3	4	2	1	3	1	1	2	2	2	5	2	1	6	1	3	3	4	2	1	3	1	1	2	2	2	5	42598.03	44051.09	56465.66	44549.43	49758.586	46401.17	55583.445	38441.562	51206.0	52611.39	38326.234	31121.99	54116.332	30839.754	36163.22	44822.65	18431.637	19695.021	20260.889	19233.203	19708.734	17583.035	19701.299	21667.654	18014.047	18138.893	16621.264	18384.898	19192.0	17543.35	15622.873	16848.09	
contam_contam_sp|P01008|ANT3_HUMAN	contam_contam_sp|P01008|ANT3_HUMAN Antithrombin-III OS=Homo sapiens OX=9606 GN=SERPINC1 PE=1 SV=1	contam_contam_sp|P01008|ANT3_HUMAN Antithrombin-III OS=Homo sapiens OX=9606 GN=SERPINC1 PE=1 SV=1		464			contam_contam_sp|P01008|ANT3_HUMAN Antithrombin-III OS=Homo sapiens OX=9606 GN=SERPINC1 PE=1 SV=1	0.9946	0.999	2	12	12	12	0	0	1	0	0	0	0	1	1	2	1	1	1	2	1	1	0	0	1	0	0	0	0	1	1	2	1	1	1	2	1	1	0	0	1	0	0	0	0	1	1	2	1	1	1	2	1	1	28865.59	31213.865	24989.092	30710.885	30281.703	29155.316	35192.766	29721.855	68311.8	24502.848	61998.79	62827.36	62188.56	31532.715	63330.977	61273.24	33229.72	35933.023	28767.14	35354.0	34859.93	33563.246	40513.49	34215.44	31981.629	28207.383	31425.67	31708.58	30139.814	20862.926	33393.04	30422.398	
contam_contam_sp|P01112|RASH_HUMAN	contam_contam_sp|P01112|RASH_HUMAN GTPase HRas OS=Homo sapiens OX=9606 GN=HRAS PE=1 SV=1	contam_contam_sp|P01112|RASH_HUMAN GTPase HRas OS=Homo sapiens OX=9606 GN=HRAS PE=1 SV=1		189			contam_contam_sp|P01112|RASH_HUMAN GTPase HRas OS=Homo sapiens OX=9606 GN=HRAS PE=1 SV=1	0.9863	0.9981	4	1	1	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	3	4	3	1	3	1	3	2	2	3	3	3	1	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_contam_sp|P02788|TRFL_HUMAN	contam_contam_sp|P02788|TRFL_HUMAN Lactotransferrin OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=6	contam_contam_sp|P02788|TRFL_HUMAN Lactotransferrin OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=6		710			contam_contam_sp|P02788|TRFL_HUMAN Lactotransferrin OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=6	0.9999	0.999	2	15	15	15	0	1	0	1	2	1	1	0	2	1	1	0	0	2	1	2	0	1	0	1	2	1	1	0	2	1	1	0	0	2	1	2	0	1	0	1	2	1	1	0	2	1	1	0	0	2	1	2	36362.03	38727.016	34770.555	37354.496	41261.73	31076.967	39379.266	39844.242	41527.973	39911.277	39340.734	32428.15	29813.578	42710.383	43657.324	45666.215	36362.03	30985.375	27413.057	26321.736	31775.361	31076.967	32169.63	30662.69	36801.42	34437.785	32881.13	32428.15	29813.578	37610.887	38997.35	40189.055	
contam_contam_sp|P04040|CATA_HUMAN	contam_contam_sp|P04040|CATA_HUMAN Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3	contam_contam_sp|P04040|CATA_HUMAN Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3		527			contam_contam_sp|P04040|CATA_HUMAN Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3	1.0	0.999	32	564	564	564	32	29	31	32	38	36	32	26	37	40	34	34	34	43	41	45	32	29	31	32	38	36	32	26	37	40	34	34	34	43	41	45	32	29	31	32	38	36	32	26	37	40	34	34	34	43	41	45	1373370.6	1376015.0	1578990.5	1575068.0	1578528.5	1472214.1	1470417.8	1429475.0	1512961.2	1598339.1	1488470.0	1485076.0	1356853.0	1601131.2	1647453.4	1413242.6	185726.02	186895.23	195371.14	185758.8	191395.77	182386.6	184968.05	186196.2	190413.58	185937.95	185581.3	187515.08	191946.67	189208.39	190626.23	192425.84	
contam_contam_sp|P06396|GELS_HUMAN	contam_contam_sp|P06396|GELS_HUMAN Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1	contam_contam_sp|P06396|GELS_HUMAN Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1		782			contam_contam_sp|P06396|GELS_HUMAN Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1	1.0	0.999	10	103	103	103	6	6	7	6	5	7	7	5	9	8	7	6	6	6	6	6	6	6	7	6	5	7	7	5	9	8	7	6	6	6	6	6	6	6	7	6	5	7	7	5	9	8	7	6	6	6	6	6	264733.56	204438.62	204216.8	226181.11	202258.48	213671.44	245897.5	217372.97	247269.2	290173.1	259697.31	231846.94	282416.84	266418.22	214220.77	235338.2	66814.75	59050.508	64098.152	63928.71	61328.57	62358.98	62355.656	60958.055	63858.414	64385.67	67062.77	65170.207	64455.594	61772.99	63023.523	64795.562	
contam_contam_sp|P07339|CATD_HUMAN	contam_contam_sp|P07339|CATD_HUMAN Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1	contam_contam_sp|P07339|CATD_HUMAN Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1		412			contam_contam_sp|P07339|CATD_HUMAN Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1	1.0	0.999	11	198	198	198	11	12	16	12	12	10	10	11	12	13	12	15	15	12	10	15	11	12	16	12	12	10	10	11	12	13	12	15	15	12	10	15	11	12	16	12	12	10	10	11	12	13	12	15	15	12	10	15	159735.42	283361.1	301602.53	295820.78	254757.1	242588.7	160015.67	252609.8	228940.58	285618.53	291922.22	268434.34	251970.42	234636.03	236528.95	294861.7	30214.256	36278.332	40657.562	35735.52	35720.625	35657.37	36558.367	39251.207	37197.902	40567.098	41319.668	38434.477	36650.17	34906.316	38131.547	38412.375	
contam_contam_sp|P08758|ANXA5_HUMAN	contam_contam_sp|P08758|ANXA5_HUMAN Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2	contam_contam_sp|P08758|ANXA5_HUMAN Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2		320			contam_contam_sp|P08758|ANXA5_HUMAN Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2	1.0	0.999	19	317	262	317	21	19	23	19	20	17	22	17	19	21	20	19	18	17	22	23	18	17	19	15	16	14	19	13	16	16	17	15	14	14	20	19	21	19	23	19	20	17	22	17	19	21	20	19	18	17	22	23	518523.66	635581.5	610917.8	625022.5	620157.06	513764.16	634628.94	587027.75	666694.75	582287.5	618681.6	641657.25	664742.9	610603.75	627814.8	652888.0	85953.234	94379.4	90908.35	91533.664	92863.336	92896.945	92532.44	92438.16	92537.77	93536.75	93169.3	94748.86	92862.61	95128.38	93773.914	92497.59	
contam_contam_sp|P09211|GSTP1_HUMAN	contam_contam_sp|P09211|GSTP1_HUMAN Glutathione S-transferase P OS=Homo sapiens OX=9606 GN=GSTP1 PE=1 SV=2	contam_contam_sp|P09211|GSTP1_HUMAN Glutathione S-transferase P OS=Homo sapiens OX=9606 GN=GSTP1 PE=1 SV=2		210			contam_contam_sp|P09211|GSTP1_HUMAN Glutathione S-transferase P OS=Homo sapiens OX=9606 GN=GSTP1 PE=1 SV=2	1.0	0.999	21	1286	1286	1286	70	82	79	87	77	77	87	96	77	84	73	82	78	83	82	72	70	82	79	87	77	77	87	96	77	84	73	82	78	83	82	72	70	82	79	87	77	77	87	96	77	84	73	82	78	83	82	72	4106056.2	5268896.0	5368732.5	5335404.0	5222829.5	5290387.0	5467889.0	5363529.5	4897686.0	5292867.5	5070534.5	5281890.0	4969450.0	5197126.5	5230836.0	5206547.0	764623.7	941724.1	969162.44	937740.94	942143.9	956443.75	962303.56	949245.75	923149.44	978905.5	949958.0	970155.56	926038.7	944937.2	937912.7	960749.6	
contam_contam_sp|P10599|THIO_HUMAN	contam_contam_sp|P10599|THIO_HUMAN Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3	contam_contam_sp|P10599|THIO_HUMAN Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3		105			contam_contam_sp|P10599|THIO_HUMAN Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3	1.0	0.999	8	426	426	426	27	28	27	25	27	24	26	30	26	26	26	28	29	23	28	26	27	28	27	25	27	24	26	30	26	26	26	28	29	23	28	26	27	28	27	25	27	24	26	30	26	26	26	28	29	23	28	26	1646429.5	1767849.5	1868532.4	1807210.1	1718907.1	1774440.1	1865082.5	1645831.6	1804327.4	1870413.8	1702004.4	1738818.2	1823605.0	1798241.5	1725562.8	1766380.0	560719.75	593903.8	602135.6	558260.5	574848.56	556610.94	580417.6	559176.2	557424.0	603953.75	555298.4	566713.44	569559.94	568144.6	572475.6	558965.56	
contam_contam_sp|P12081|HARS1_HUMAN	contam_contam_sp|P12081|HARS1_HUMAN Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=HARS1 PE=1 SV=2	contam_contam_sp|P12081|HARS1_HUMAN Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=HARS1 PE=1 SV=2		509			contam_contam_sp|P12081|HARS1_HUMAN Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=HARS1 PE=1 SV=2	1.0	0.999	20	171	153	171	7	13	12	13	10	12	15	9	11	9	10	9	11	10	11	9	6	12	10	12	9	11	13	8	10	8	9	8	10	9	10	8	7	13	12	13	10	12	15	9	11	9	10	9	11	10	11	9	400687.2	395120.72	382033.56	404151.3	397822.03	392765.1	385185.75	310119.28	342138.94	317128.25	340184.06	295003.47	365353.88	336758.66	354929.72	373221.2	58507.363	55604.73	56805.027	55469.48	56461.92	56925.26	57627.67	58624.55	59462.7	57020.426	56170.266	56313.902	58138.105	57606.64	58604.105	56517.72	
contam_contam_sp|P13645|K1C10_HUMAN	contam_contam_sp|P13645|K1C10_HUMAN Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6	contam_contam_sp|P13645|K1C10_HUMAN Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6		584			contam_contam_sp|P13645|K1C10_HUMAN Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6	1.0	0.999	14	80	78	97	5	7	5	4	4	5	4	3	4	7	7	4	5	6	7	3	4	7	5	4	4	5	4	3	4	7	7	4	4	6	7	3	6	7	7	5	5	7	5	5	6	8	7	7	5	6	7	4	148041.31	185899.38	157564.47	150407.5	110343.305	200829.38	151627.1	155473.56	177961.0	100145.45	170919.83	181679.12	86304.12	202207.94	186973.11	170073.12	66300.25	66631.54	66301.79	74356.99	59895.355	70703.67	67718.21	73965.76	73380.11	79039.36	65308.223	64995.227	74969.96	72995.05	67764.11	71036.09	
