Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A1_1 Spectral Count	A1_2 Spectral Count	A1_3 Spectral Count	A1_4 Spectral Count	A1_5 Spectral Count	A1_6 Spectral Count	A1_7 Spectral Count	A1_8 Spectral Count	B1_1 Spectral Count	B1_2 Spectral Count	B1_3 Spectral Count	B1_4 Spectral Count	B1_5 Spectral Count	B1_6 Spectral Count	B1_7 Spectral Count	B1_8 Spectral Count	A1_1 Unique Spectral Count	A1_2 Unique Spectral Count	A1_3 Unique Spectral Count	A1_4 Unique Spectral Count	A1_5 Unique Spectral Count	A1_6 Unique Spectral Count	A1_7 Unique Spectral Count	A1_8 Unique Spectral Count	B1_1 Unique Spectral Count	B1_2 Unique Spectral Count	B1_3 Unique Spectral Count	B1_4 Unique Spectral Count	B1_5 Unique Spectral Count	B1_6 Unique Spectral Count	B1_7 Unique Spectral Count	B1_8 Unique Spectral Count	A1_1 Total Spectral Count	A1_2 Total Spectral Count	A1_3 Total Spectral Count	A1_4 Total Spectral Count	A1_5 Total Spectral Count	A1_6 Total Spectral Count	A1_7 Total Spectral Count	A1_8 Total Spectral Count	B1_1 Total Spectral Count	B1_2 Total Spectral Count	B1_3 Total Spectral Count	B1_4 Total Spectral Count	B1_5 Total Spectral Count	B1_6 Total Spectral Count	B1_7 Total Spectral Count	B1_8 Total Spectral Count	A1_1 Intensity	A1_2 Intensity	A1_3 Intensity	A1_4 Intensity	A1_5 Intensity	A1_6 Intensity	A1_7 Intensity	A1_8 Intensity	B1_1 Intensity	B1_2 Intensity	B1_3 Intensity	B1_4 Intensity	B1_5 Intensity	B1_6 Intensity	B1_7 Intensity	B1_8 Intensity	A1_1 MaxLFQ Intensity	A1_2 MaxLFQ Intensity	A1_3 MaxLFQ Intensity	A1_4 MaxLFQ Intensity	A1_5 MaxLFQ Intensity	A1_6 MaxLFQ Intensity	A1_7 MaxLFQ Intensity	A1_8 MaxLFQ Intensity	B1_1 MaxLFQ Intensity	B1_2 MaxLFQ Intensity	B1_3 MaxLFQ Intensity	B1_4 MaxLFQ Intensity	B1_5 MaxLFQ Intensity	B1_6 MaxLFQ Intensity	B1_7 MaxLFQ Intensity	B1_8 MaxLFQ Intensity	Indistinguishable Proteins
contam_contam_sp|P02788|TRFL_HUMAN	contam_contam_sp|P02788|TRFL_HUMAN Lactotransferrin OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=6	contam_contam_sp|P02788|TRFL_HUMAN Lactotransferrin OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=6		710			contam_contam_sp|P02788|TRFL_HUMAN Lactotransferrin OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=6	0.9998	0.999	2	13	13	13	1	1	1	1	1	1	1	1	1	0	0	0	1	0	2	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	2	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	2	1	13232.236	13970.464	11444.517	15195.347	12859.722	13825.161	10341.013	18071.914	16863.633	13286.502	16948.773	15661.43	15582.446	14024.759	16832.518	13544.721	13232.236	13970.464	11444.517	11794.797	12859.722	10746.985	10341.013	13753.318	13014.505	13286.502	13039.251	12126.628	12017.457	14024.759	13014.144	10285.793	
contam_contam_sp|P04040|CATA_HUMAN	contam_contam_sp|P04040|CATA_HUMAN Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3	contam_contam_sp|P04040|CATA_HUMAN Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3		527			contam_contam_sp|P04040|CATA_HUMAN Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3	1.0	0.999	22	363	363	363	21	24	23	22	17	19	29	21	23	26	25	25	22	21	23	22	21	24	23	22	17	19	29	21	23	26	25	25	22	21	23	22	21	24	23	22	17	19	29	21	23	26	25	25	22	21	23	22	350576.0	308286.4	319501.25	344506.53	332050.0	368502.62	347747.03	358768.28	317641.53	331440.2	296451.94	335745.03	344231.22	308627.88	336312.03	344724.7	36119.562	36422.688	37016.9	37091.48	35659.688	37298.97	36956.79	37815.86	37008.145	37384.973	37798.703	38279.812	37625.348	38849.86	38857.516	38497.51	
contam_contam_sp|P04264|K2C1_HUMAN	contam_contam_sp|P04264|K2C1_HUMAN Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6	contam_contam_sp|P04264|K2C1_HUMAN Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6		644			contam_contam_sp|P04264|K2C1_HUMAN Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6	1.0	0.9988	5	11	11	54	1	0	2	1	1	2	1	1	0	1	0	0	1	0	0	0	1	0	2	1	1	2	1	1	0	1	0	0	1	0	0	0	3	5	4	3	3	5	3	3	3	4	2	3	5	4	2	2	27273.7	19690.174	28982.584	23525.54	23729.62	13279.309	24466.896	24984.818	6482.6904	14937.915	12007.52	12830.477	13664.859	15384.707	13544.435	14298.76	15577.739	11162.767	12682.076	13414.618	13504.297	13581.781	13962.827	14063.196	6630.3516	8223.321	6858.5234	7325.379	7805.15	8677.612	7736.3164	8167.191	
contam_contam_sp|P06396|GELS_HUMAN	contam_contam_sp|P06396|GELS_HUMAN Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1	contam_contam_sp|P06396|GELS_HUMAN Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1		782			contam_contam_sp|P06396|GELS_HUMAN Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1	1.0	0.999	5	46	46	46	4	4	2	3	2	4	3	3	3	4	3	2	2	3	2	2	4	4	2	3	2	4	3	3	3	4	3	2	2	3	2	2	4	4	2	3	2	4	3	3	3	4	3	2	2	3	2	2	52385.758	52915.72	56643.67	44108.25	43664.39	38407.918	49972.723	53262.95	40680.645	53007.766	38205.117	39734.07	41751.434	40451.24	35328.35	38901.137	17193.242	18027.607	19497.164	17192.89	14463.15	16165.139	17817.305	17962.133	17412.16	18045.611	16820.92	17102.637	17469.732	17886.082	15547.103	16544.809	
contam_contam_sp|P07339|CATD_HUMAN	contam_contam_sp|P07339|CATD_HUMAN Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1	contam_contam_sp|P07339|CATD_HUMAN Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1		412			contam_contam_sp|P07339|CATD_HUMAN Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1	1.0	0.999	9	73	73	73	5	5	4	5	3	2	3	6	3	7	3	6	8	4	3	6	5	5	4	5	3	2	3	6	3	7	3	6	8	4	3	6	5	5	4	5	3	2	3	6	3	7	3	6	8	4	3	6	27483.643	32553.607	55362.703	40718.19	31219.053	26810.967	53477.92	31992.25	43992.418	41530.87	28157.084	41927.945	44637.598	37015.56	31988.436	56557.004	9451.61	10566.996	10719.579	9300.065	9589.818	9925.325	9954.757	9788.641	9399.918	10487.123	9933.516	10284.363	9461.368	10014.91	10190.177	10894.31	
contam_contam_sp|P08758|ANXA5_HUMAN	contam_contam_sp|P08758|ANXA5_HUMAN Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2	contam_contam_sp|P08758|ANXA5_HUMAN Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2		320			contam_contam_sp|P08758|ANXA5_HUMAN Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2	1.0	0.999	12	159	118	159	10	11	6	9	6	8	12	8	10	8	15	12	12	11	9	12	9	9	5	7	5	7	9	5	9	4	10	8	8	8	6	9	10	11	6	9	6	8	12	8	10	8	15	12	12	11	9	12	108006.83	105292.586	116376.08	104156.43	91703.51	90362.93	107447.875	93659.28	90163.41	65103.793	114249.195	104825.14	110790.016	111724.31	110729.34	99324.49	17608.738	18693.559	18817.402	18297.734	18006.623	18265.314	18029.066	18012.2	17219.633	19120.846	18545.232	18280.002	18693.795	18896.084	18181.408	18930.174	
contam_contam_sp|P09211|GSTP1_HUMAN	contam_contam_sp|P09211|GSTP1_HUMAN Glutathione S-transferase P OS=Homo sapiens OX=9606 GN=GSTP1 PE=1 SV=2	contam_contam_sp|P09211|GSTP1_HUMAN Glutathione S-transferase P OS=Homo sapiens OX=9606 GN=GSTP1 PE=1 SV=2		210			contam_contam_sp|P09211|GSTP1_HUMAN Glutathione S-transferase P OS=Homo sapiens OX=9606 GN=GSTP1 PE=1 SV=2	1.0	0.999	19	995	995	995	60	62	61	58	68	63	60	59	64	54	69	63	68	63	63	60	60	62	61	58	68	63	60	59	64	54	69	63	68	63	63	60	60	62	61	58	68	63	60	59	64	54	69	63	68	63	63	60	1150673.0	1193812.0	1173759.9	1151099.4	1174110.4	1141134.8	1096802.9	1153100.0	1177649.0	1192919.0	1148449.9	1158273.2	1115360.5	1143280.6	1173526.2	1111572.5	141483.3	152359.12	149956.88	148952.28	149716.08	142762.72	142460.23	147729.58	146382.3	144038.31	143727.92	147009.97	140158.5	142559.0	147769.31	146677.38	
contam_contam_sp|P10599|THIO_HUMAN	contam_contam_sp|P10599|THIO_HUMAN Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3	contam_contam_sp|P10599|THIO_HUMAN Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3		105			contam_contam_sp|P10599|THIO_HUMAN Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3	1.0	0.999	8	244	244	244	15	16	16	13	15	11	15	16	16	17	11	18	13	18	16	18	15	16	16	13	15	11	15	16	16	17	11	18	13	18	16	18	15	16	16	13	15	11	15	16	16	17	11	18	13	18	16	18	413743.6	375494.22	406880.16	387104.62	377074.62	378951.12	422808.06	397583.44	403700.22	401909.7	380832.1	417344.38	399127.56	409656.62	412535.94	412401.94	147956.64	149896.69	161299.25	146337.69	143231.98	142944.27	151894.77	152258.7	145688.39	150648.88	150437.69	154950.44	146554.53	153551.5	155489.97	146933.47	
contam_contam_sp|P12081|HARS1_HUMAN	contam_contam_sp|P12081|HARS1_HUMAN Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=HARS1 PE=1 SV=2	contam_contam_sp|P12081|HARS1_HUMAN Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=HARS1 PE=1 SV=2		509			contam_contam_sp|P12081|HARS1_HUMAN Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=HARS1 PE=1 SV=2	1.0	0.999	16	136	118	136	7	8	5	6	7	7	6	10	9	11	13	10	7	10	9	11	6	8	3	6	7	6	6	9	7	9	11	9	6	9	7	9	7	8	5	6	7	7	6	10	9	11	13	10	7	10	9	11	152465.1	70464.766	157308.06	131843.69	83358.74	123902.14	81135.54	121029.31	179222.42	123475.37	107668.21	117357.95	107586.34	117955.12	127054.17	244673.62	27901.807	27969.334	30196.953	29363.613	29152.943	30805.822	27854.438	29380.205	28662.898	29430.457	27636.5	28988.469	28547.56	28821.693	28762.43	28880.791	
contam_contam_sp|P13645|K1C10_HUMAN	contam_contam_sp|P13645|K1C10_HUMAN Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6	contam_contam_sp|P13645|K1C10_HUMAN Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6		584			contam_contam_sp|P13645|K1C10_HUMAN Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6	1.0	0.999	10	27	27	58	0	4	2	0	4	2	1	1	2	2	1	2	0	2	1	3	0	4	2	0	4	2	1	1	2	2	1	2	0	2	1	3	2	6	4	2	7	4	3	2	3	4	2	5	2	4	3	5	13118.695	15877.614	15241.967	16489.656	19749.398	7129.1006	6939.581	9251.992	5384.784	12067.218	12794.081	13148.882	7315.243	11991.436	11954.172	10756.203	5125.4023	4759.2754	4957.8037	5277.7437	7606.99	4525.3774	4484.361	4154.8174	3548.4924	4234.0874	4685.3564	4169.0693	4753.9775	4564.5327	4068.5251	4307.4067	
contam_contam_sp|P15559|NQO1_HUMAN	contam_contam_sp|P15559|NQO1_HUMAN NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens OX=9606 GN=NQO1 PE=1 SV=1	contam_contam_sp|P15559|NQO1_HUMAN NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens OX=9606 GN=NQO1 PE=1 SV=1		274			contam_contam_sp|P15559|NQO1_HUMAN NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens OX=9606 GN=NQO1 PE=1 SV=1	0.8057	0.9963	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	14659.358	12864.311	0.0	15492.444	0.0	12053.793	11884.524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14659.358	12864.311	0.0	15492.444	0.0	12053.793	11884.524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_contam_sp|P16083|NQO2_HUMAN	contam_contam_sp|P16083|NQO2_HUMAN Ribosyldihydronicotinamide dehydrogenase [quinone] OS=Homo sapiens OX=9606 GN=NQO2 PE=1 SV=5	contam_contam_sp|P16083|NQO2_HUMAN Ribosyldihydronicotinamide dehydrogenase [quinone] OS=Homo sapiens OX=9606 GN=NQO2 PE=1 SV=5		231			contam_contam_sp|P16083|NQO2_HUMAN Ribosyldihydronicotinamide dehydrogenase [quinone] OS=Homo sapiens OX=9606 GN=NQO2 PE=1 SV=5	1.0	0.999	4	18	18	18	1	3	1	1	1	1	2	3	0	0	2	1	0	1	0	1	1	3	1	1	1	1	2	3	0	0	2	1	0	1	0	1	1	3	1	1	1	1	2	3	0	0	2	1	0	1	0	1	18123.602	24929.617	13615.308	16783.172	10059.734	17123.94	28527.352	26111.693	12668.406	13082.283	13510.035	8484.431	11353.97	2902.237	12221.56	15340.165	9028.098	7427.1025	8384.36	8477.452	10007.329	8184.891	9402.112	10635.41	8785.861	9360.601	9441.745	8440.231	8038.3594	6923.76	8465.196	7838.304	
