Genes	N.Sequences	N.Proteotypic.Sequences	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_AST_RAWdata\Normoxia_AST_50cell_S2-A4_1_8446.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_AST_RAWdata\Normoxia_AST_50cell_S2-B4_1_8447.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_AST_RAWdata\Normoxia_AST_50cell_S2-C4_1_8449.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_AST_RAWdata\Normoxia_AST_50cell_S2-D4_1_8455.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_GSC_RAWdata\Normoxia_GSC_50cell_S2-A1_1_8441.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_GSC_RAWdata\Normoxia_GSC_50cell_S2-B1_1_8442.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_GSC_RAWdata\Normoxia_GSC_50cell_S2-C1_1_8452.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_GSC_RAWdata\Normoxia_GSC_50cell_S2-D1_1_8456.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MAC_RAWdata\Normoxia_MAC_50cell_S2-A7_1_8453.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MAC_RAWdata\Normoxia_MAC_50cell_S2-B7_1_8454.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MAC_RAWdata\Normoxia_MAC_50cell_S2-C7_1_8448.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MAC_RAWdata\Normoxia_MAC_50cell_S2-D7_1_8451.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MIC_RAWdata\Normoxia_MIC_50cell_S2-A10_1_8443.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MIC_RAWdata\Normoxia_MIC_50cell_S2-B10_1_8444.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MIC_RAWdata\Normoxia_MIC_50cell_S2-C10_1_8445.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MIC_RAWdata\Normoxia_MIC_50cell_S2-D10_1_8450.d
AATF	4	4	1895.4	1990.15	2068.83	1500.46	2388.83	1886.26	2403.95	1226.86	3473.39	1970.89	2350.96	2459.25	2893.12	2213.27	2591.24	3392.91
ABAT	3	3	807.206	1350.27	1084.67	1536.98		596.386			760.795		1458.55			457.395	1033.22	1126.1
ABCA1	6	6	1719.16	1112.16	1228.03						2360.63	1981.94	2828.79	2437.04	1474.11	862.462	1006.56	1170.57
ABCA8	1	1	1057.41	766.298	1288.56													
ABCB1	3	3					1784.25	2100.81	1774.71	1892.86								
ABCB10	12	12	4758.28	4230.41	4236.31	4704.15	5685.87	4987.72	4824.22	4756.47	8491.27	8597.45	7713.76	8203.47	7323.12	4871.83	6003.8	6850.07
ABCB6	8	8	43709.6	40713	41197.3	45121.9	89587.1	77463.2	91035	73717.4	39946.4	45807.6	45292.9	37202				48450.3
ABCB7	13	13	4923.67	4530.02	4960.16	5490.79	5478.22	5312.06	5231.13	5939.6	8018.1	8502.7	7658.29	7898.38	8257.91	7269.94	7627.6	7349.33
ABCB8	10	10	5162.66	5583.44	4966.4	4752.85	5990.49	4600.16	4126.8	3873.48	9119.63	8569.33	9052.86	8949.36	9303.94	7798.44	7663.91	9357.25
ABCC1	18	18	8937.99	9743.1	11162.5	9506.71	10845.6	8647.36	9914.14	9733.56	7683.48	7773.65	7803	7950.7	9289.91	7842.9	8629.99	8942.74
ABCC10	11	11	2688.13	2424.71	2514.48	2559.78					2778.73	3050.16	2293.44	2719.1	2809.64	2742.91	3032.39	2812.63
ABCC4	18	18	4067.22	3826.56	3921.53	3866.1	6708.6	5753.39	5872.51	5589.96	3198.67	2927.54	3270.66	3217.73	3578.58	2920.69	2823.15	3540.82
ABCC5	5	5	1029.37								4786.02	4342.79	4252.27	4863.96			1013.08	
ABCD1	16	16	6599.35	5047.33	5094.73	6368.87	5315.87	4856.84	5671.52	3939.79	12254.1	11377.6	12407.6	12369.5	17140	11267.4	16280.9	15637.1
ABCD3	14	14	15596.6	15135.2	24557.4	16430.1	8799.72	8202.73	8394.13	6502.72	12239.8	12555.3	12417.8	11115.4	13368.2	12748.4	13210.8	11630
ABCD4	11	11	1272.69	960.518		1042.19					4808.08	5117.36	4268.62	4889.91	1912.87	1415.49	1484.31	1793.67
ABCE1	21	21	26807.8	26415.3	27296.4	30612.8	29095.5	24699.1	24472.8	20796.4	22968	23092.5	21469.6	22448.4	33351.4	33097.8	36799.3	35810.4
ABCF1	17	17	26399.4	26219.8	25942.9	25881.8	24018.1	18772.4	18694.3	20171.7	23401.1	22731.8	23406.3	25164.9	20876	19740	21871.1	23090.8
ABCF2	10	10	8988.27	8455.61	8476.17	10341.2	7774.59	7226.68	6961.87	7665.4	6381.11	6338.75	5935.72	5725.6	5821.96	6893.54	7404.82	6997.58
ABCF3	19	19	14995.8	14020.4	12133.9	15203.7	10061.8	8801.58	9907.45	9084.37	14940	12787.4	12910	13196.7	15473.6	13343.1	14783.4	15901
ABCG1	2	2										235513				256807	259088	285882
ABCG2	2	2	1125.79								2006.07	1089.06	1655.21	1538	1481.88	1414.13	1975.02	1965.9
ABHD10	8	8	13783.6	14444.6	15310.1	16255.5	13580.8	11029.8	11927.5	12031.6	19463.2	23859.8	18684.1	22046.7	17282.9	22597.4	26278.9	23858.6
ABHD11	8	8	3445.15	4090.94	4442.9	3967.34	8202.37	7508.6	7588.11	6365.1	9162.78	9194.17	10350	9561.92	10855.3	10999.9	10079	11267.2
ABHD12	12	12	8789.69	6595.35	7631.84	8040.49	9281.25	9695.29	7259.32	6584.73	32549.3	31058.5	34458.8	28075.5	20821.6	19498.4	23254.5	21610.8
ABHD13	1	1		1022.82	1755.54	1100.68						1196.63					1163.94	
ABHD14B	6	6	11143	10170.6	15539.8	11111.1	4443.83	7776.98	8034.42	7449.82	19327.7	23039.7	20223.1	18543.2	14557.5	13223.3	15373.5	12258.3
ABHD16A	7	7	5231.28	5462.91	6472.64	7326.47	2620.93	4117.29	3873.84	4420.17	17035.1	18080.8	14381.3	15398.3	10680.4	10881.5	13297.5	11722.3
ABHD17A	2	2									3388.32	2697.05	2822.57	3026.62				
ABHD17B	1	1									1439.94	1907.72	1144.51	1881.6		669.849		
ABHD2	2	2		1213.77											1440.69	1776.75	1429.54	1402.99
ABHD3	1	1									1731.24	2656.1	1472.21		2276.34	1489.84	2700.57	1707.89
ABHD4	2	2	1262.37	1547.21	1476.44	1810.05	1255.23	1552.17	1023.48	724.589	2604.23	2201.39	1951.17	1799.25	2168.75	1769.01	2234.49	2048.9
ABHD5	2	2	1794.41	1342.72	1360.74	1345.36	2269.9	2013.41	1875.33	1839.28		1597.05	1305.99	1039.83	2585.72	1400.87	1020.02	2360.49
ABHD6	5	5	1970.78	1536.78	2127.95	1848.09		992.438		1542.52	4646.2	3651.58	3648	4510.57	3130.38	3096.99	3397.24	4393.18
ABI1	3	3	2547.91	2848.57	5787.73	2303.34					7240.12	14223.9	12358.3	6881.72	5316.08	7247.54	7738.89	6434.74
ABI2	4	4	3066.13	4286.82	3528.53	3908.58	7290.4	7592.37	7475.65	6952.32	2600.48	1823.67	2375.66	2005.74	1404.59	763.741	1800.45	1242.46
ABI3	6	6				1943.58					11463.9	14647.3	9599.77	10000.4	19316.7	21863.7	22222.6	19736.9
ABI3BP	6	6	5997.64	7865.61	6025.67	7146.14				1558.07								
ABL1	7	7	2322.5	2432.84	3219.59	2984.43	1021.74	1175.39	1173.66	1102.25	2492.03	2755.84	2325.95	2193.41	1229.76	1140.61	1298.5	1085.86
ABL2	6	6	1306.61	1474.99	1702.51	1707.51	1472.41	1787.42	1799.11	1451.4	744.505	755.605	1071.52	1282.7	1358.39	985.294	1137.68	1280.38
ABLIM1	7	7	7884.57	6977.16	7602.9	8842.58	1870.21	3239.92	2541.45	2232.1								
ABR	21	21	9462.07	9100.39	9326.64	9464.2	8918.5	8093.18	8045.96	7184.07	16863.4	17434.9	15164.7	15388	22946.4	25880.9	26196.5	28040.4
ABRACL	1	1		1068.36			2512.67	2646.51	1838.66	1734.98	3093.84	4540.86	5385.6	3515.51			4946.76	3697.69
ABRAXAS2	9	9	3622.95	3111.72	3815.03	3577.12	3972.4	2878.65	3189.16	2905.26	5941.58	6972.79	6571.07	6799.18	5704.93	5985.6	6180.88	6134.72
ACAA1	9	9	39610.2	36019.9	35899.1	42913.1	15840.2	15490	14510.5	13709.5	60117.9	47425.5	44537.1	52745.6	68993.3	52973.9	61218.6	62454
ACAA2	17	17	16992.5	20090.6	25405.6	21993.2	21958.9	21471.5	19190.2	20252.4	59313.7	71563	59915.4	54885.8	95530.6	85026.1	93482.2	84672.9
ACACA	35	35	9413.7	9140.8	9643.51	11311.4	21780.8	19806.8	18372.1	17970.9	8753.02	9622.76	8685.52	8912.94	5211.04	5340.64	5719.67	6407.87
ACAD10	6	6	941.445	1096.54	827.124	805.853	1997.45	1567.88	1438.66	1598.47	1549.87	1872.51	1534.38	2499.29	2209.33	1597.43	1393.17	1960.52
ACAD11	6	6	3503.39	3550.86	3818	3963.12	3989.87	3416.85		4097.51					3813.27	4135.47	3335.13	4270.93
ACAD8	6	6	911.724	1188.28	1453.71	1564.4		1257.37	978.842	915.119	4912.57	4913.01	3897.07	5170.98	9625.22	6340.88	7025.21	6881.23
ACAD9	23	23	13858.9	13542.7	15000.5	14650.8	15830.4	14959.6	13112.1	14218.8	27991.9	30843.8	27442.6	28647.2	26521.7	19027.3	21611.7	22102.3
ACADM	17	17	11389.1	12965.9	14165.3	13214.9	20240.2	24644.5	21600.6	20747.9	74757.3	85694.5	76022.7	73023.6	103629	102012	116485	104914
ACADS	5	5	723.667		1309.15	924.893	5367.9	4695.1	4277.14	5403.89	10628.8	8750.16	12044.1	12216.4	9838.59	8359.08	6852.66	11652.2
ACADSB	12	12	2835.6	2606.91	3875.21	2419.15	2542.84	2749.99	2240.66	2683.2	5298.77	5743.83	5924.27	5046.62	5859.61	5020.1	6313.84	6072.24
ACADVL	24	24	22159.5	21078.4	23217.3	26621	23487.8	25680	21733.6	20456.1	32638	35924.4	30856.3	33992.5	46474.8	49605.8	47292.9	44397.4
ACAP2	14	14	9674.96	7933.35	8636.73	7959.71	7293.85	5960.63	7096.49	5507.07	15095.3	13112.4	13854.1	13517.2	12321.9	10016.5	11716.9	12131.7
ACAP3	3	3	1845.43	1997.16	1744.54	1516.15												
ACAT1	16	16	47609.8	52572.1	56381.3	53828	113528	104463	99931.1	104452	144207	140595	118832	144846	131053	126974	126946	124799
ACAT2	12	12	71428.2	100416	94282.4	111334	196861	208958	227424	218782	118383	177790	117732	123854	31512.6	37003.6	37099.9	35154.7
ACBD3	11	11	15554.5	13352.1	15945	15529.6	8459.14	7005.02	7703.12	7292.8	8238.52	5998.43	7538.95	6981.37	6716.65	5838.19	7750.77	7331.19
ACBD5	5	5	2288.36	2365.1	1517.8	3147.82	3519.97	2709.62	2262.04	2712.2	4716.7	4596.43	4192.3	5021.28	4808.14	2661.02	3236.1	4186.8
ACBD6	2	2	2530.07	3431.03	4027.87	3795.35	2804.85	1856.27	2159.42	1803.91	2631.34	2737.12	2451.56	2484.14	1804.05	1751.93	2127.8	2159.42
ACE	8	8									5359.55	3341.64	3879.16	3796.9	5512.09	7908.47	7312.51	7168.58
ACIN1	24	24	17414.3	18446.5	18782.4	21365.3	23228.2	24068.9	23370.7	23916.6	21995.1	21012.2	18690.3	21135.4	20498.2	21374.3	21917	20825.2
ACLY	42	42	59552	66816.7	68203.5	71148.8	88546	80769.8	76584.4	61962.3	54029.6	68507.3	52037	51905.6	33917	39212.5	39750	35695.1
ACO1	15	15	5611.78	5135.45	6130.42	5943.31	7412.14	7776.98	6740.36	6705.22	11517.6	12128.8	10354.5	10616.3	8022.74	6902.02	7957.97	9507.82
ACO2	30	30	37434.9	41424.2	48537.5	45458.1	34887.6	35407.5	30346.5	34261.4	86056.3	102887	85494.7	84371.1	128974	112795	118273	130195
ACOT1	1	1	4096.6	4653.9	4965.63	4203.82	3292.68		2755.06	3198.67	8465.94	8367.24	7185.08	7513.22	12692.6	7486.18	11185.6	9370.1
ACOT11	6	6									7582.2	8415.25	7330.6	6787.72	7457.61	10038.2	9278.7	10219.4
ACOT13	3	3	21295.7	30639.2	42470.7	45726.5	10988.5	16375.6	11531.6	10935	31336.5	33138.4	30488	29114.5	28244.4	27131.7	29978.1	25227.8
ACOT7	7	7	17316.4	20756.4	25646.1	27233.1	19529.8	31444.7	16348.7	17232.6	12526.2	14228.2	12410.7	11334.8	8908.08	12304.5	11365.3	10157.4
ACOT8	5	5	3552.31	3550.06	3731.36	3503.25	3053.15	3040.91	3939.22	3923.57	4053.83	4413.95	3621.4	3657.14	5519.64	4505.35	4290.37	4548.42
ACOT9	13	13	22240.1	22098.4	25577.2	27501.5	16985.7	16080.2	15181.4	14096.2	21925.1	21253	18574.1	22446.4	19479.2	20506.1	18577.1	21408.1
ACOX1	9	9	19572.3	22911.9	35177.7	27714.4	15917.8	16272.5	10995.7	9441.28	24948.9	33623.1	30138.5	26593.3	42046.7	49945.4	53985.2	46817.9
ACOX3	12	12	4784.96	4825.81	7022.76	5568.49	2991.97	2379.08	2210.31	2379.61	6386.83	7743.71	7453.43	6991.18	6494.77	6209.75	7187.26	6494.74
ACP1	3	3	25556.8	30569.8	23499	34156.5	15215.6	11536.8	14200.5	14721.3	25937.6	26017.3	24045.8	24129.3	17337.8	17616.6	18554.5	18350.6
ACP2	6	6	14274.5	15847.8	21770.2	16852.2	5408.63	7171.82	4445.32	4721.49	66964.9	58992.6	57359.9	62181.1	72226.6	58021.1	63138.5	64079.7
ACP3	6	6	3261.47	907.172	2628.66	793.838	2328.28	1240.84	3288.86	1655.62	8805.06	7895.66	10188.1	10972.7	8432.98	5559.55	6806.7	5966.94
ACP5	3	3	889.318								22918.6	18421.7	21338	17275.4	10548.6	16809.4	10684.3	10506.6
ACP6	1	1	1226.03	817.469	1120.35		1981.65	1603.19	1761.63						1128.31	758.764	647.851	1025.27
ACP7	3	3	617.563		772.559							814.173	817.35		3731.87			
ACSF2	11	11	1812.77	1601.48	2180.56	1689.45	1681.82	1762.79	1614.33	1372.23	4540.09	3574.7	4401.13	3596.23	7428.7	5660.67	7616.39	7041.86
ACSF3	15	15	2406.56	2427.45	2713.98	3049.09	1819.18	2582.7	2400.8	2371.42	7925.49	8305.9	7114.15	7955.98	8496.15	7374.55	8481.24	8097.68
ACSL1	15	15	8713.76	9405.46	9758.64	10155.3	10823.9	12252.6	10675.8	10613.8	58564.1	46473.6	60061.3	55275.8	69273.8	50173.3	61071.8	62112.8
ACSL3	10	10	25075.8	25283.1	29340.8	28117	77840.4	61914.9	71915.1	65702.1	25180.9	29171	24906.9	25909	14748.2	15536.3	16505	16040
ACSL4	12	12	3921.96	4140.62	6217.95	6742.17	8192.12	8704.28	8902.97	7757.66	14368.4	15911	14198.2	12985.7	9685.15	8421.53	11551.2	9963.98
ACSL5	4	4									3408.83	3265.85	4356.73	2876.03	2920.35	2474.36	2124.89	2334.76
ACSS1	11	11		2997.68		2898.93	3364.65	2870.97	3320.47	3104.85	6755.93	6315.88	7242.07	6448.47	3610.26	3255.87	2886.57	3646.98
ACSS2	11	11	5500.93	4769.15	5645.43	4873.81	9677.04	8114.08	9408.41	8246.3	8175.86	10280.2	9211.32	8080.73	4850.05	5208.13	4812.53	4883.54
ACSS3	2	2					5939.11	5142.88	5165.35	5208.65								
ACTBL2	5	5	108600	130976	158487	119920	31270.5	41478.9	23876.3	5055.75	188744	227763	189680	191505	163588	161974	172312	129482
ACTG2	1	1	956.346	1158.42	1413.89													
ACTL6A	6	6	9129.46	8096.92	8850.6	7889.76	12789.3	13900.5	14529.5	15562.6	6373.62	7765.49	7311.23	7526.51	6686.93	8132.8	7051.81	7753.93
ACTMAP	1	1				1454.39					2357.78	2034.72	2948.89	3896.97	3048.11	1845.63	1469.38	2120.38
ACTN1	25	25	235649	279313	321341	301133	42734.8	45218.1	41935.4	30981.3	76803.1	78273.4	85942.1	62596.6	91328.2	85548.4	123125	101071
ACTN4	34	34	164361	207058	234992	236405	125791	134355	123291	107513	61445.6	74916.6	68874.8	62693.9	94314.9	102968	117959	105716
ACTR10	4	4	6479.64	6577.66	5957.21	6703.56	5133.88	5288.84	5525.63	4775.95	6680.32	8041.71	6070.65	5099.88	5605.95	6453.18	6189.08	5308.7
ACTR1A	10	10	31229	37877.5	42425.8	36750.7	21700.2	20736.9	20846.7	19021.6	39544.7	38457.8	36826.5	35404.4	25629.9	28841.2	33388.6	31459.9
ACTR1B	6	6	13929.9	17036.5	19813.4	17024.3	8971.17	7955.06	10410.5	8686.42	19799.4	23961	18673.5	20910.4	15694.9	17763.5	17969.7	16963.9
ACTR2	6	6	24638.5	31500.1	46204.2	33258.6	10380.1	13951.7	10701.7	9979.85	52336.3	88280	73506.6	56655.3	61487	87296.5	88790.5	77397.5
ACTR3	9	9	14355.5	19972.4	31216.3	21070.8	8241.73	9935.81	4943.53	6640.82	33910.5	88788.8	43754	36389.7	28680.9	73330.9	65754.4	41982.5
ACTR5	2	2	2910.55	2171.38	2700.66		2961.29	3355.72	3948.14	3263.61		2499.44	2835.33		1572.27	1695.68	2038.81	2793.99
ACTR8	4	4	2173.18	1785.44	2423.48	2289.26	1592.87	1776.07	1396.31		3207.96	2600.81	2483.61	2477.82	2145.07	2515.75	2373.46	2138.07
ACY1	11	11	5336.35	5281.16	5197.77	5977.21	6747.46	8383.97	7332.13	7357.5	11440.9	11674.5	10016.6	10855.2	12661.8	13620.8	15027.6	13821.2
ACYP1	3	3	3772.83	3752.38	4767.83	3639.35	11780.4	9957.62	7910.51	9429.5	4566.95	4069.86	4291.79	4862.46	2713.81	2875.25	2827.12	3516.38
ACYP2	4	4	2205.1	1787.19	1813.92	1995.86	1158.86	1017.35		1287.04	3826.47	3890.27	3928.33	3881.05	3622.36	3142.78	3076.2	4113.24
ADA	11	11	5160.31	6840.33	6464.21	5922.85	3463.11	3479.41	3661.51	3152.66	13746.5	18018.1	15619.6	15821.3	5552.05	7046.26	5799.14	5645.4
ADA2	10	10									44120.7	53011.9	53747.1	59331.8	7182.16	9385.34	7892.27	6713.52
ADAM10	14	14	4166.92	3545.75	4441.76	3980.97	4169.15	3793.67	2437.52	2316.25	10144.7	11158	12087.8	10775.7	9339.24	8767.77	11041.2	10013.2
ADAM15	2	2	1525.53	1301.69	1566.07	1474.11	1680.54	1678.77	1945.3	1446.32	1063.18	1807.61	1235.24	1231.02		991.641	707.436	
ADAM17	8	8	3914.12	3355.36	5597.4	4869.39	3895.33	2292.14	2614.65	2550.72	7254.18	7252.7	6989.56	7108.92	4344.79	5429.33	5292.22	5079.18
ADAM28	5	5									1969.41	2508.36	1914.69	1900.48	3301.78	3297.8	3824.09	3442.88
ADAM9	4	4	3192.27	2843.61	3729.63	2646.17	2247.03	1295.11	1610.46	1324.34	4566.98	5440.03	5011.16	4845.38	2174.14	2295.64	2187.02	2367.77
ADAMDEC1	1	1															455.963	1079.79
ADAMTS1	4	4	1189.46	1312.57	1570.01	1714.87												
ADAMTS5	2	2	1163.37	755.073	1358.42	1008.67												
ADAP1	6	6		1960.37	1191.65	1583.88					8810.03	8468.45	9380.17	10114.3	8518.79	9340.51	9649.88	9148.14
ADAP2	8	8									5582.74	5010.93	5141.27	5342.78	4662.12	3711.28	4053.14	3882.18
ADAR	24	24	22383.8	21691.1	24482.4	24737.5	19397.8	18795.4	17620.4	15317.4	18805.1	20543.8	18336.6	19633.5	17030	19627	20187.3	18217
ADARB1	4	4	1411.11	1288.11	1579.38	1130.83	485.727	748.874	663.876	659.687	725.285	1393.94	880.663	977.904	1426.19	1379.01	1312.67	1328.37
ADCK1	2	2			728.078			2416.89			1184.11	1444.68	1727.47	1316.87	1086.98	881.501	772.305	1105.72
ADCK5	3	3	576.632	496.402	590.63		845.355	566.854		433.949	1240.79	1441.53	1439.53	1803.52	1150.78	795.267	839.023	992.317
ADCY3	2	2		606.112	1107.58	1005.45			807.245		1380.5	709.142		897.845	1028.56	1020.55	1533.36	1665.9
ADCY6	2	2	1495.03	1642.05	1621.44	1709.95		1009.7	1331.22	1453.73	913.02	1220.84	1597.14	1157.95		993.273	968.915	1033.9
ADCY7	5	5			2112.04	1652.32					3233.07	2961.01	3277.68	3097.63	2421.89	2543.43	2900.71	2381.87
ADCY9	3	3	1285.89	917.306	1102.55	1041.07		961.138		911.287								
ADD1	18	18	32708.4	35468.6	37813.7	34856.6	15408.8	13816.1	13123.4	11450.1	6362.47	8083.99	7216.87	8666.58	6448.04	5401.33	5583.35	5961.6
ADD2	2	2					1517.27	950.268	1147.83	916.849								
ADD3	13	13	19849	21456.4	20508.1	22202.4	7678.79	6976.41	7789.32	6708.71	4184.71	3827.32	5187.49	4795.1	4161.17	3948.51	4501.92	4434.76
ADGRA2	1	1	779.64	687.123	1506.42	1085.55												
ADGRE2	2	2									924.663	1048.86	1021.56	977.411	1696.71	1502.93	2088.28	1508.17
ADGRE5	6	6	4007.84	4109.28	4790.53	4075.41	8308.53	8851.4	6546.34	6675.01	21009.1	20783.3	20623.6	18513.6	28233.2	32505.6	37607.9	27187.4
ADGRL2	3	3	2186.22	2149.68	3183.19	2139.39												
ADH5	6	6	40772	48040.4	50393.3	49325	50808.9	38623.3	29604.1	22454	40611.4	34163.6	41933.5	39212.4	41534.4	23567.5	37334.1	36712.3
ADH7	1	1	24303.2	42847.1	31153.5	43455.8	20840.5	23116.6	25758.2	27636.7	18546.4	19384.4	16897.1	20914.5	8893.79	9893.98	8262.21	9824.73
ADI1	5	5	2309.49	2607.9	5487.28	2681.43		1274.88			4300.31	8881.75	7288.89	4112.46	3115.08	4224.18	4539.79	4487.49
ADIRF	3	3					4156.5	4234.17	2930.34	3015.38								
ADISSP	4	4	2305.36	2951.15	3854.38	3132.56	1613.49	961.108	1046.96	996.593	9169.49	13950.8	9758.07	8953.81	4228.56	5523.36	6196.7	4997.49
ADK	10	10	17854.5	20005.6	19339.9	17180.3	16675.2	14744.1	12413.9	13168.9	16438.2	21468.4	20512.2	21723.4	29406.2	25139.8	31036.7	32012.2
ADNP	14	14	4202.31	4069.16	4745.85	4704.98	6706.15	5572.62	6262.23	6337.95	3353.18	3519.76	3870.74	3328.68	3411.86	3139.3	3639.1	3210.79
ADO	3	3	4079.87	4272.73	3209.98	3957.41	4807.67	4837.15	4490.95	4490.71	5796.29	4852.7	5055.7	6796.99	6241.59	5150.6	5903.48	6147.31
