Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-A3_1_12089.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-B3_1_12090.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-C3_1_12091.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-D3_1_12092.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-E3_1_12093.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-F3_1_12094.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-G3_1_12095.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-H3_1_12096.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-A7_1_12097.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-B7_1_12098.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-C7_1_12099.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-D7_1_12100.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-E7_1_12101.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-F7_1_12102.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-G7_1_12103.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-H7_1_12104.d
O13535;P0C2I2;P0C2I3;P0C2I5;P0C2I6;P0C2I9;P0C2J0;P0C2J1;P47098;P47100;Q03434;Q03612;Q03619;Q03855;Q04670;Q04711;Q07793;Q12088;Q12141;Q12193;Q12269;Q12316;Q12414;Q92393;Q99231;Q99337;O74302;P0C2I4;P0C2I8;P0CX57;P0CX58;P0CX59;P0CX60;P0CX65;P0CX66;P0CX67;P0CX68;P0CX69;P0CX70;P0CX71;P0CX72;P0CX73;P0CX74;P0CX75;P0CX76;P47099;Q03856;Q04706;Q12085;Q12217;Q12441;Q12470;Q12485;Q6Q5H1	YA11A_YEAST;YB12A_YEAST;YB12B_YEAST;YD11A_YEAST;YD11B_YEAST;YD12A_YEAST;YD12B_YEAST;YD13A_YEAST;YD13B_YEAST;YD14A_YEAST;YD14B_YEAST;YD15A_YEAST;YD15B_YEAST;YE11A_YEAST;YE11B_YEAST;YE12A_YEAST;YE12B_YEAST;YG11A_YEAST;YG11B_YEAST;YG12A_YEAST;YG12B_YEAST;YG13A_YEAST;YG13B_YEAST;YH11A_YEAST;YH11B_YEAST;YJ11A_YEAST;YJ11B_YEAST;YJ12A_YEAST;YJ12B_YEAST;YL11A_YEAST;YL11B_YEAST;YL12A_YEAST;YL12B_YEAST;YL13A_YEAST;YL13B_YEAST;YL14A_YEAST;YM11A_YEAST;YM11B_YEAST;YM12A_YEAST;YM12B_YEAST;YM14A_YEAST;YM14B_YEAST;YN12A_YEAST;YN12B_YEAST;YO12A_YEAST;YO12B_YEAST;YP11A_YEAST;YP11B_YEAST;YP12A_YEAST;YP12B_YEAST;YP13A_YEAST;YP13B_YEAST;YP14A_YEAST;YP14B_YEAST	TY1A-A;TY1A-BR;TY1A-DR1;TY1A-DR3;TY1A-DR4;TY1A-DR5;TY1A-DR6;TY1A-ER1;TY1A-ER2;TY1A-GR1;TY1A-GR2;TY1A-GR3;TY1A-H;TY1A-JR1;TY1A-JR2;TY1A-LR1;TY1A-LR2;TY1A-LR3;TY1A-LR4;TY1A-ML1;TY1A-ML2;TY1A-MR2;TY1A-NL2;TY1A-OR;TY1A-PL;TY1A-PR1;TY1A-PR2;TY1A-PR3;TY1B-BR;TY1B-DR1;TY1B-DR3;TY1B-DR4;TY1B-DR5;TY1B-DR6;TY1B-ER1;TY1B-ER2;TY1B-GR1;TY1B-GR2;TY1B-GR3;TY1B-H;TY1B-JR1;TY1B-JR2;TY1B-LR1;TY1B-LR2;TY1B-LR3;TY1B-ML1;TY1B-ML2;TY1B-MR2;TY1B-NL2;TY1B-OR;TY1B-PL;TY1B-PR1;TY1B-PR2;TY1B-PR3	Transposon Ty1-H Gag-Pol polyprotein	4	0	4627.97	6565.84	4729.61	4399.1	5547.27	5436.67	5244.04	6391.02	1935.15	2460.36	2917.05	2376.55	3092.34	2508.68	2944.34	2710.81
O13563	RPN13_YEAST	RPN13	26S proteasome regulatory subunit RPN13	1	1		1896.33				1097.82	974.853						618.864		710.943	
O14455;P05745	RL36A_YEAST;RL36B_YEAST	RPL36A;RPL36B	Large ribosomal subunit protein eL36B	5	0	22267.1	23411.5	23280	22218.7	20471	25246.7	23680.6	22197.8	11400	11436.3	12393.8	11625.3	10919.1	11131.3	10918	12147.7
O14467	MBF1_YEAST	MBF1	Multiprotein-bridging factor 1	3	3	6233.23	3384.23	4344.74	3687.67	4597.93	3970.69	4619.11	5096.19	2548.76	2370.43	2291.88	2451.46	1978.35	2253.26	2466.95	2756.04
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	1	1		505.819	1042.19		932.616	726.015		712.107	670.163	913.767	521.878	885.295	902.194	475.237	604.19	942.749
O14519	CDKA1_HUMAN	CDK2AP1	Cyclin-dependent kinase 2-associated protein 1	1	1	368.122	516.651	778.496	805.077	546.941	915.082	653.456	657.328	930.558	379.075	596.679	908.355	851.615	441.031	586.813	799.243
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	3	3	851.572	895.241	815.053	710.113	814.998	846.913	941.116	914.526	940.591	1019.98	944.879	817.541	950.148	951.662	784.083	774.304
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	1	1	683.529		651.616	556.771	882.304			933.84	802.923	550.104	787.931	571.105		503.024	474.348	411.732
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	3	3	2276.36	3949.63	2341.14	4010.5	3182.46	2946.03	2670.68	2501.99	3407.3	3217.09	3316.32	3443.03	3822.63	3662.8	3438.29	3518.33
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	5	5	6039.16	5850.68	5577.99	6813.86	5302.04	6405.02	5743.44	6679.24	4995.11	5368.29	6035.29	7061.33	6271.35	6551.61	6600.2	7067.61
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	8	8	2057.34	2786.11	2025.3	2205.03	2760.05	2317.64	1978.37	1816.66	2258.95	1956.19	2401.68	2117.75	2218.71	2871.63	2908.89	2371.44
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	6	6	1193.29	1280.98	1001.16	982.112	1540.76	1219.56	1319.36	1176.73	1234.24	1310.8	1531.3	1071.58	1014.8	1183.96	1246.56	1160.65
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	10	10	1766.63	1940.89	1605.04	1864.74	2062.67	1619.89	1823.67	1603.19	1840.5	1854.38	1915.23	2001.23	2012.86	2243.82	1946.46	1990.46
O14777	NDC80_HUMAN	NDC80	Kinetochore protein NDC80 homolog	1	1	1042.91								1655.55			1028.15			1161.19	1015.58
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	8	6	11596.8	9407.78	11337.1	10425.6	12381.2	12140.7	12018.6	11491.9	13375.4	11298.6	11465.9	11412	11591	12161.8	11046.6	12116.1
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	1	1	683.338			909.292	1134.45		1358.44	976.053	1397.95	949.061	772.408	468.772	778.556			923.911
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	2	2	3540.48	3356.34	2221.94	2271.7	2612.98	3233.23	3132.87	3751.49	4070.71	3062.95	2935.48	3674.92	2861.66	2598.79	3068.1	3196.63
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	1	1	2923.55	3265.85	3185.04	2569.77	2709.28	2745.75	2916.63	2120.61	2351.21	2612.81	2564.26	1958.27	2670.68	3433.81	2423.45	2742.2
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	7	0	2768.41	2303.72	2342.2	2426.4	2524.45	2053.35	2337.26	2178.8	2630.46	2829.69	2723.7	2214.13	2144.3	1922.68	2397.9	2814.99
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	4	4	1253.95	1002.39	1062.66	1582.81	913.82	1011.76	1301.67	1198.36	1536.69	930.372	1342.53	1056.9	697.86	1125.07	787.407	1353.9
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	7	7		955.881	1227.97	1140.89	1341.31	1108.08	1764.02	1083.39	1251.83	896.409	1236.37	1122.97	960.431	903.453	1124.05	939.748
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	10	7	24060.8	22822.2	21310.3	23701.8	23704.3	24254.3	24019.1	24198.8	27638.1	23656.6	26815.6	24352.7	25845.1	27394.1	24841.9	25445.6
O14980	XPO1_HUMAN	XPO1	Exportin-1	10	10	3168.74	3649.05	3137.61	3255	3596.1	3220.58	3247.06	2837.87	3108.62	3039	3089.36	3497.32	3453.26	3426.24	3346.82	3039.05
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	7	7	3078.89	3280.52	3864.22	3361.66	2885.69	3788.38	2939.01	4357.83	5113	3650.02	4640.95	4101.47	3897.89	4430.08	3363.3	3627.37
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	5	5	1927.76	2307.74	2206.27	2241.76	2328.89	2885.32	2304.02	2439.36	3053.97	2640.85	2523.67	2695.12	2450.51	2671	2394.53	2236.5
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	3	3	2104.59	2940.66	2440.66	2310.86	2372.25	2502.1	2344.98	2666.49	2071.1	2348.69	1953.59	2577.79	2220.34	2493.48	2456.97	2631.12
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	3	3	2069.23	1895.3	2336.62	1746.54	1745.14		1845.06		2318.77	1741.77	2253.05	1448.28	1793.59	2537.82	2056.03	1631.98
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	3	3	2322.25	1710.42	2776.19	1604.93	2186.24	2163.01		2089.17	2667.12	1499.48	2060.99	2810.55	1961.73	2365.34	2002.49	1844.86
O15155	BET1_HUMAN	BET1	BET1 homolog	1	1				639.468			777.98									
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	3	3	1512.76	2232.75	1447.98		1912.43	1790.33		1729.19	1593.49	2014.55	2695.41	944.976	1281.22	1988.21	1030.17	1236.08
O15182	CETN3_HUMAN	CETN3	Centrin-3	2	2	635.407		663.899	423.088	661.926				572.46			494.093	640.622	428.699		
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	5	5	5431.88	5119.6	5388.99	5220.8	5368.69	5435.05	5359.52	5909.01	5597.6	5722.74	4502.77	5299.35	5842.47	5672.17	5703.17	5061.58
O15226	NKRF_HUMAN	NKRF	NF-kappa-B-repressing factor	7	7	1264.02	1235.27	1057.11	932.112	955.933	1123.94	940.469		1047.26	970.003	1416.74	1270.05	776.172	1284.41	1022.03	956.135
O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2	3	3	2991.16	2905.28	1928.27	2531.23	1800.87	2807.7	3018.03	2556.08	1996.72	3856.45	2380.04	2459.9	2402.72	3522.24	2517.74	3014.73
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	1	1						789.058							724.83			
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	4	4	11437.9	10403.5	9765.24	11495.7	9211.98	8353.19	7794.22	9676.5	10126.1	8241.97	9612.86	11001.6	11091.5	9849.24	9979.35	11236.7
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	7	7	2594.14	2606.09	3149.03	2615.35	3283.53	2614.22	2695.91	2884.17	3221.09	2488.24	2693.89	2850.05	2896.43	2651.44	2733.88	2856.56
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	7	7	2783.1	3603.81	3430.88	3404.6	3573.83	4022.1	3200.31	3198.03	3314.99	3165.7	3315.49	3777	3402.99	3126.7	2812.4	3105.48
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	7	7	5792.79	5210.72	5773.41	6553.42	6003.85	6746.76	4826.67	6154.65	5093.95	5354.83	5251.09	5631.1	5638.79	6397.87	5978.17	5510.24
O15400	STX7_HUMAN	STX7	Syntaxin-7	1	1		1328.4	1182.02			1211.94		801.659	715.646					1360.76	875.304	1317.03
O15446	RPA34_HUMAN	POLR1G	DNA-directed RNA polymerase I subunit RPA34	1	1	809.701	542.263	1106.23			736.073	806.408				536.98				598.951	
O15479	MAGB2_HUMAN	MAGEB2	Melanoma-associated antigen B2	2	1	2435.81	1958.01	2745.74	2342.01	1947.54	2311.33	2861.37	2977.88	1881.4	2793.52	3426.77	1661.55	2876.24	1662.42	1888.59	2027.25
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	4	3	2207.4	2153.08	2411.95	2026.56	1799.02	2183.66	2109.96	2016.52	2105.04	2313.6	1862.04	2065.26	1926.33	2211.28	2028.11	2055.57
