Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-A2_1_12107.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-B2_1_12108.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-C2_1_12109.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-D2_1_12110.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-E2_1_12111.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-F2_1_12112.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-G2_1_12113.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-H2_1_12114.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-A6_1_12115.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-B6_1_12116.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-C6_1_12117.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-D6_1_12118.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-E6_1_12119.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-F6_1_12120.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-G6_1_12121.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-H6_1_12122.d
A0A140N2D6	A0A140N2D6_ECOBD	tusA	Sulfur carrier protein TusA	2	2						5961.31			9569.88	12492.1	7627.87	11679.5	6696.33	10119	12186.3	8008.32
A0A140N2D9	A0A140N2D9_ECOBD	dnaA	Chromosomal replication initiator protein DnaA	2	2	4659.49		3331.36		3254.31			2636.49	6865.65	6770.04	5482.06	6362.92	5792.46	6238.9	5177.73	6693.67
A0A140N2F9	A0A140N2F9_ECOBD	ECBD_0302	Oxidoreductase domain protein	6	6	5384.21	3226.06	6407.49	4458.09	2640.53	6217.15	5589.59	5211.42	10482.5	11112.1	11800.1	11383.2	10628	10206.3	9814.93	13310
A0A140N2J1	A0A140N2J1_ECOBD	hslO	33 kDa chaperonin	4	4	10500.2	11871.6	6609.94	11749.9	13542.3	3825.33	13075.4	8699.14	25964.4	22735.9	30372.9	25855.9	29046.7	29672.8	26002.8	28900.6
A0A140N2L7	A0A140N2L7_ECOBD	rph	Ribonuclease PH	4	4	7547.77	5396.9	6678.93	6574.47	6378.16	5341.61	6838.45	7819.71	19294.7	20434.2	20703.6	19835.5	16246.6	15415.7	19803.8	22052.3
A0A140N2P2	A0A140N2P2_ECOBD	ECBD_0114	Rhodanese domain protein	4	4	5416.64	5426.58	5259.12	5437.84	6260.78	5286.76	4401.54	5677.61	18408.1	19812.4	18427.4	17286.4	18756.4	18750.7	18346	18949.9
A0A140N2P5	A0A140N2P5_ECOBD	tusB	Protein TusB	1	1						2641.46				5145.83		6515.18				8147.31
A0A140N2S3	A0A140N2S3_ECOBD	rplV	Large ribosomal subunit protein uL22	8	8	137060	131874	144607	142126	153951	148318	143269	154287	558905	580662	552858	564683	566426	568571	599689	598700
A0A140N2T1	A0A140N2T1_ECOBD	rplF	Large ribosomal subunit protein uL6	12	12	171400	168016	166890	154703	163720	164577	161394	167636	598294	591714	586402	582844	584409	600858	594970	591038
A0A140N2U0	A0A140N2U0_ECOBD	rpoA	DNA-directed RNA polymerase subunit alpha	19	19	71063.9	67798.8	79896.5	77576.1	77017.7	78411.3	80404.9	79026.5	274214	275293	263077	267314	267638	272737	269090	275206
A0A140N2U8	A0A140N2U8_ECOBD	glyS	Glycine--tRNA ligase beta subunit	23	23	10354.8	11464.7	10862.6	10227	10425.8	9967.93	12328.6	10333.9	29080.3	30095.5	31249.2	29109.5	30662.8	30864.4	29929.8	30025.3
A0A140N2Z9	A0A140N2Z9_ECOBD	rpsI	Small ribosomal subunit protein uS9	9	9	156178	150208	155893	156182	154952	161930	164810	165284	579631	577175	566539	570959	612247	577379	591235	597466
A0A140N307	A0A140N307_ECOBD	ECBD_0527	IS600 orf	5	5	5764.96	4404.45	5971.97	6770.83	5411.32	3769.71		2939.11	13642.8	14290.8	11455.1	13604.9	13422.1	10797	12742.5	13614.4
A0A140N312	A0A140N312_ECOBD	ECBD_0246	Universal stress protein	6	6	34232.8	32992.1	32475.5	40881.3	39636.3	41387.5	43576.2	43162.3	129087	129718	132269	120084	151370	125390	154129	154510
A0A140N319	A0A140N319_ECOBD	rapZ	RNase adapter protein RapZ	2	2		3639.95	5448.85		4796.94		4454.59		10305	10694.9	8138.82	13251.5	11115.1	9896.19	10040.1	10615.9
A0A140N339	A0A140N339_ECOBD	ECBD_0276	Ribosomal RNA small subunit methyltransferase D	1	1									7717.18	4861.02	9305.67	8277.29	4536.11	7932.76	7401.46	
A0A140N340	A0A140N340_ECOBD	rpmA	Large ribosomal subunit protein bL27	5	5	52273.8	48906	57480.7	60990	56664.4	65887.4	56538.6	53894.3	183390	182075	173256	172283	198583	169146	193774	213479
A0A140N363	A0A140N363_ECOBD	ECBD_0587	Intracellular protease, PfpI family	4	4						5349.19	4678.28	5653.55	11717.3	11016.6	11531.8	10728.9	12654.1	9963.64	11669.4	10058.7
A0A140N377	A0A140N377_ECOBD	glpE	Thiosulfate sulfurtransferase GlpE	2	2	7062.27	7043.65	6663.38	6907.98	5457.66				8146.04	6774.97	6509.94	6113.91	7314.71	6155.48	7389.37	4879.3
A0A140N394	A0A140N394_ECOBD	ECBD_0340	DNA-binding dual transcriptional regulator OmpR	13	13	28907.8	23650.6	25668.8	27161.1	25385.5	28731.5	30548.5	27612.3	89759.1	93577.4	85336.4	90764.1	91557.2	94484.2	91986.3	90228.8
A0A140N3A3	A0A140N3A3_ECOBD	ECBD_0350	NUDIX hydrolase	4	4					3726.67		2041.6	3433.18	6888.65	8443.7	7373.94	7688.49	6913.28	7550.4	8466.57	6864.53
A0A140N3D6	A0A140N3D6_ECOBD	ECBD_0391	Catabolite activator protein	11	11	63116.8	67355.8	58346.1	52901.7	65072.1	59509.7	61350	67828.1	229612	221071	218748	219229	218510	221272	218646	195404
A0A140N3E3	A0A140N3E3_ECOBD	slyX	Protein SlyX	2	2	4262.57	5052.5	3773.32	4901.82	2393.66		6015.31	6019.25	11581.7	12349.8	9892.68	8924.35	7874.46	12259.7	9848.6	9857.21
A0A140N3F8	A0A140N3F8_ECOBD	ribB	3,4-dihydroxy-2-butanone 4-phosphate synthase	2	2					4603.35				6394.02	6504.12	6188.92	6394.72	8876.99	5948.72	5659.55	7305.17
A0A140N3G7	A0A140N3G7_ECOBD	rplC	Large ribosomal subunit protein uL3	12	12	107354	98563.7	98725.4	102415	104408	102771	102636	104695	356778	348322	345491	338937	351952	347557	382430	383861
A0A140N3H1	A0A140N3H1_ECOBD	ECBD_0718	Transcriptional regulator, XRE family	4	4	4001.88		3083.76	4491.13	2443.29	3089.41		2070.09	6694.88	6940.99	7370.38	9377.55	7735.13	7378.47	7361.78	8422.49
A0A140N3H4	A0A140N3H4_ECOBD	rplN	Large ribosomal subunit protein uL14	4	4	140993	144944	135072	118831	138365	130525	150120	140433	533482	510634	535037	544008	533613	522282	528041	515604
A0A140N3I5	A0A140N3I5_ECOBD	ECBD_0728	2,5-didehydrogluconate reductase	14	14	15386.4	14893.9	15113.1	14555.2	14123.4	14790.2	12863.1	14529.1	53177	49348.5	52756.8	48777.7	51489.2	51912.7	48762.9	50751.3
A0A140N3J3	A0A140N3J3_ECOBD	ECBD_0738	Carboxymethylenebutenolidase	2	2							834.609		4645.16	2827.01	3387.65	3589.57	3174.11	3051.64	3660.14	
A0A140N3L9	A0A140N3L9_ECOBD	rpmB	Large ribosomal subunit protein bL28	3	3	41709.6	51028.4	55006.5	49449.8	51535.8	51859.8	45686.4	51872.8	191207	191618	194715	185252	174935	185670	168738	191088
A0A140N3M3	A0A140N3M3_ECOBD	ECBD_0502	Protease TldD	5	5		2667.31	1662.49	3047.89	2567.7	3130.84	3060.2	2644.21	7059.47	6167.59	5998.17	6702.49	7099.96	7930.31	6965.21	6455.47
A0A140N3N3	A0A140N3N3_ECOBD	trmB	tRNA (guanine-N(7)-)-methyltransferase	2	2	3035.28	3887.07	3427.86				4134.46	4184.1	7995.79	9395.75	10846.3	11901.9	11040	8919.91	8846.2	10140.8
A0A140N3N8	A0A140N3N8_ECOBD	nanA	N-acetylneuraminate lyase	6	6	14535.3	14783	14053.4	10146.9	17894	17692.8	15005.2	14678.7	29566.9	32938	29687.4	33102.3	32868.1	30516.6	36274.2	31645.8
A0A140N3P1	A0A140N3P1_ECOBD	ECBD_0789	Pyridoxal phosphate homeostasis protein	4	4	28115.1	28140.3						17053.2	58039.3	58869.9	51458.7	61572	63727.7	62398.5	56044.1	48715.1
A0A140N3P8	A0A140N3P8_ECOBD	ECBD_0532	Aerobic respiration control sensor protein	1	1		2387.2	3056.86	3118.67	1980.87	2336.14	2855.16	1963.33	8787.88	7757.36	10428.9	8579.04	9138.41	9272.16	8503.81	6273.15
A0A140N3Q3	A0A140N3Q3_ECOBD	lldD	L-lactate dehydrogenase	6	6	5934.54	4432.13	6691.27		5767.38	5912.39	6014.36	6239.76	13162.4	13350.4	12846.8	13727.5	13076.4	12910.9	12110.9	14198.5
A0A140N3R5	A0A140N3R5_ECOBD	ECBD_0552	BolA family protein	1	1			4783.05			8973.96	8028.44		21289	17438.5	18145.7	16760.3	17967.6	22640	23462.8	19782.8
A0A140N3S1	A0A140N3S1_ECOBD	ECBD_0562	CRM domain-containing protein	3	3	17653.7	16979.3	19690	21853.5	18617.9	18781.8	21141.3	19895.2	71258.8	72148.8	68178	69071.6	73405.6	73080.7	70333.5	75699.3
A0A140N3S6	A0A140N3S6_ECOBD	ECBD_0141	Iron-containing alcohol dehydrogenase	2	2						3532.89			5767.64	5552.39		5963.27	5591.36	3772.65	4461.98	7066.1
A0A140N3T1	A0A140N3T1_ECOBD	ECBD_0829	Peptidase M24	7	7	8724.72	8356.8	7426.49	7251.97	7104.69	8032.75	7594.73	8587.64	26874.2	26449.4	26296.7	25331.7	25339.8	24721.8	24284.2	24117.3
A0A140N3T4	A0A140N3T4_ECOBD	infB	Translation initiation factor IF-2	29	28	14013.2	13496.9	13002	12793.3	12070.2	12646.2	13781.6	12592.2	45955.8	46718.9	44742.6	44033	44165	46794	45790.2	45563.4
A0A140N3U1	A0A140N3U1_ECOBD	ygfZ	tRNA-modifying protein YgfZ	17	17	16491	16638.7	16363.8	16079.9	15924.3	16150.9	16984.1	16201.9	61849	63617.7	60322	60715.7	59717.1	60551.8	60450.3	57364.6
A0A140N3X6	A0A140N3X6_ECOBD	ECBD_0192	Extracellular solute-binding protein family 5	5	5	3169.6		2255.9	2054.17	3193.33				7748.95	6580.84	5569.49	3991.79	5922.87	5194.76	6611.3	5907.81
A0A140N3Z1	A0A140N3Z1_ECOBD	ECBD_0212	Peptidase M16 domain protein	7	7	3738.19	2916.64	3530.84	3979.55	4225.56	3726.51	3743.73	4427.86	10534.2	9794.25	11010	10044.3	8926.74	10957.3	9510.19	10838.9
A0A140N3Z2	A0A140N3Z2_ECOBD	ECBD_0005	Radical SAM domain-containing protein	1	1			2205.35	2214.92	2045.21	2049.38	1237.42	1156.07	4383.29	5666.74	3594.25	3486.46	5107.63	3543.98	6704.7	6075.25
A0A140N417	A0A140N417_ECOBD	mug	G/U mismatch-specific DNA glycosylase	6	6	10140	8373.08	8732.94	9313.07	8987.71	9080.61	8700.14	9718.96	30387.7	31262.6	26930.1	31168.1	31138.7	32034.7	32471	29450.5
A0A140N421	A0A140N421_ECOBD	rlmJ	Ribosomal RNA large subunit methyltransferase J	4	4						5994.63	4355.69	5847.94	15222.1	16124.4	13032	15127.3	16446.5	16188.9	15242.6	15836.2
A0A140N443	A0A140N443_ECOBD	ygiB	UPF0441 protein YgiB	2	2		1466.63				2393.64		3274.9	5875.37	6309.34	7030.29	6715.95	5459.05	5312.75	5843.41	6413.69
A0A140N457	A0A140N457_ECOBD	gmk	Guanylate kinase	2	2	5251.38	2997.09	4448.78	4465.46	2813.56	3714.29	4788.92	4370.86	22346.2	18653.4	17650.7	16202.2	15626.3	18735.6	16001.3	16666
A0A140N459	A0A140N459_ECOBD	panZ	PanD regulatory factor	1	1									4920.12	4201.84	3371.06	5244.59	4864.21	4596.26	4638.91	4250.98
A0A140N472	A0A140N472_ECOBD	pcm	Protein-L-isoaspartate O-methyltransferase	4	4					7021.35	6113.56	6531.92	8030.91	17048.3	17511.8	17755.3	17364.7	16733.1	16004.6	16483.4	15963.6
A0A140N487	A0A140N487_ECOBD	kbl	2-amino-3-ketobutyrate coenzyme A ligase	17	17	11536.6	11496.5	10977	11296.1	11194.8	11910.8	11851.7	11516.6	37492.1	39092.8	37157	36405.8	38513.7	37382.9	39505.1	38924.1
A0A140N494	A0A140N494_ECOBD	ECBD_0118	Serine acetyltransferase	3	3	6358.57	4731.7	4291.93	6473.47	5901.43	4799.09	6721.42	7262.46	17214.7	16577.9	13716.5	16055.9	18030.2	18474.4	18838.5	16190
A0A140N4A1	A0A140N4A1_ECOBD	mtlD	Mannitol-1-phosphate 5-dehydrogenase	10	10	12476.5	13665.7	13133.4	15706.4	13991.1	11799.6	12930.7	11733.5	45964.1	42088.5	42581.1	38522.3	41140.4	41826.1	42183.5	43490
A0A140N4A2	A0A140N4A2_ECOBD	ECBD_1021	PTS system, glucitol/sorbitol-specific IIA subunit	3	3	4890.46	5554.97	5541.99	6341.58	5850.53	4999.58	5942.98	5007.4	21334.3	19280.4	17441.2	15900.7	18364.1	16152.8	17072.3	19259
A0A140N4B7	A0A140N4B7_ECOBD	ECBD_1041	Binding-protein-dependent transport systems inner membrane component	1	1		1927.1				1476.15		1190.88	3460.84	6502.8	5728.84	2697.96	4361.6	3891.72	5674.57	5216.93
A0A140N4C5	A0A140N4C5_ECOBD	ECBD_1051	Rhodanese domain protein	1	1														5328.73		
A0A140N4C9	A0A140N4C9_ECOBD	ECBD_0794	Ribosomal RNA small subunit methyltransferase E	3	3	6603.6	3596.74			6429.4	5819.5		8325.98	8755.15	9598.14	9560.64	9934.62	9239.46	9541.48	10655.1	10879.6
A0A140N4F0	A0A140N4F0_ECOBD	ECBD_0002	Beta sliding clamp	1	1									7655.41	6977.15	6904.53	6442.05	7438.54	7414.9	5814.18	8725.6
A0A140N4F2	A0A140N4F2_ECOBD	ECBD_0180	Cold-shock DNA-binding domain protein	3	2	13649.4	12848.3	13750.2	15554.2	14669.8	13636.1	15500	15600.7	47710.8	44984.8	40832.3	45627.4	53714.5	49042.8	55604.1	45224.9
A0A140N4F6	A0A140N4F6_ECOBD	rpiA	Ribose-5-phosphate isomerase A	5	5	31917.3	30917.7	29994.2	29118.3	34005.6	31832.1	29367.9	34165.4	113382	107293	106107	105519	109200	111801	123191	116016
A0A140N4G2	A0A140N4G2_ECOBD	secB	Protein-export protein SecB	3	3	15588.8	11415.9	12589.9	12483.8	12197.8	13851	15192.7	12026.2	39501.5	41457.7	46046.9	38923.9	47252.2	42333.2	43910.1	44466
A0A140N4G4	A0A140N4G4_ECOBD	gcvP	Glycine dehydrogenase (decarboxylating)	15	14	6783.59	6486.63	7388.17	6485.38	7210.84	6877.46	5111.75	6646.16	14400.6	14918.9	13767.2	14552.9	13672.7	15030.2	13576.2	14995.8
A0A140N4H0	A0A140N4H0_ECOBD	ECBD_0126	Putative cytoplasmic protein	3	3	6807.19	7593.83	5689.79	6592.59	6319.47	5082.33	6333.75	6422.49	22527.9	22889.3	23629.4	22862.5	21073.6	22495.3	23258.2	24096.8
A0A140N4H3	A0A140N4H3_ECOBD	rpsL	Small ribosomal subunit protein uS12	6	6	125461	142217	128520	131085	132884	122631	130251	131167	465079	453808	436917	474531	470680	466945	474158	488297
A0A140N4H5	A0A140N4H5_ECOBD	grcA	Autonomous glycyl radical cofactor	7	7	6018.83	5632.66	5211.03	4773.61	6955.07	4475.77	4453.34	4479.31	14883.5	14073	14291.5	15232.6	13910.2	13759.8	15290.7	14978.9
A0A140N4H6	A0A140N4H6_ECOBD	ECBD_0844	Thiol:disulfide interchange protein	7	7	7738.76	9675.14	8520.08	8467.69	8284.22	8599.45	8037.89	8692.69	28970.5	27745.6	26834.7	25419	26478.5	25534.3	28288.9	28042
A0A140N4I6	A0A140N4I6_ECOBD	ECBD_0033	acetolactate synthase	2	2									6053.82	6812.56	7444.32	5861.03	8475.45	7476.17	5878.1	5733.96
A0A140N4K1	A0A140N4K1_ECOBD	rpsC	Small ribosomal subunit protein uS3	14	14	139397	136254	131271	138034	143282	136205	137413	134249	472180	472612	468264	469952	497973	483042	484711	479024
A0A140N4K7	A0A140N4K7_ECOBD	ECBD_0168	D-xylose ABC transporter, periplasmic substrate-binding protein	2	2	3174.92							3392.84	5298.83	5081.37	4558.63	5240.36	3837.15	5039.89		4842.23
A0A140N4K8	A0A140N4K8_ECOBD	ECBD_1131	Nitrogen regulatory protein P-II	5	5	12459.8	13796.5	11122	13890.6	12823.6	14542.6	13841.6	12415.8	48342	50638.7	51489	50728.6	51188.2	45742.4	49527.3	51484.2
A0A140N4L0	A0A140N4L0_ECOBD	rplR	Large ribosomal subunit protein uL18	5	5	102987	89744.4	98598.8	102651	100910	98967.2	92591.6	89555	343170	330052	333291	324435	366463	330928	359116	373005
A0A140N4M0	A0A140N4M0_ECOBD	rplQ	Large ribosomal subunit protein bL17	5	5	179059	159787	159360	157999	160103	155205	158363	165691	622639	644586	636010	627244	622786	635325	606437	609280
A0A140N4M1	A0A140N4M1_ECOBD	trmH	tRNA (guanosine(18)-2'-O)-methyltransferase	2	2				1886.05			1128.57	1316.47	2844.73	2122.21	2024.18	1860.03	1758.53	1823.15	1233.61	1469.97
A0A140N4M5	A0A140N4M5_ECOBD	ECBD_1151	Inositol-1-monophosphatase	10	10	9127.93	5805.68	6594.64	7530.46	6495.3	6133.67	8418.77	6455.58	23666.4	22829	21854.8	20589.6	23008.6	23008.2	21652.3	24039
A0A140N4N0	A0A140N4N0_ECOBD	pyrE	Orotate phosphoribosyltransferase	3	3		1278.07				1347.84		1556.92	4608.83	5508.3	3887.23	3489.29	4349.54	5289.06	5431.23	4721.57
A0A140N4N4	A0A140N4N4_ECOBD	pepB	Peptidase B	16	16	7582.85	7736.89	8528.89	9065.59	8266.68	7840	8673.61	8432.83	20469.6	21280.7	19862.4	21624.5	21944.8	19261.5	21900.6	21021.4
A0A140N4P3	A0A140N4P3_ECOBD	ispG	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)	14	14	21374.6	18050.1	18127.1	21456	20592.9	18792.1	20930.4	16091.3	50379.6	47714.8	56296	54193.8	51045	51240.6	53059	54203.8
A0A140N4Q7	A0A140N4Q7_ECOBD	syd	Protein Syd	2	2									7264.5	9560.47	7748.45	7057.84	9355.4	8214.62	7729.87	6356.68
A0A140N4R0	A0A140N4R0_ECOBD	ECBD_0115	Glutaredoxin	5	5	51000.1	51864.8	52382.3	50938.9	52715.7	48578.8	48819.2	53984.8	198026	182688	178931	172090	171530	171917	176804	184722
A0A140N4R5	A0A140N4R5_ECOBD	ECBD_0946	Transcriptional regulator/antitoxin, MazE	1	1					815.668				2365.05	2345.06	2470.73	2526.58	2223.41	4118.51	2685.22	
A0A140N4R6	A0A140N4R6_ECOBD	ECBD_0125	YibL family ribosome-associated protein	4	4	9113.97	8041.41	6688.29	9838.23	9637.38	8628.96	7124.62	7694.22	27096.3	24337.8	24379.7	26080.7	23907.9	25196.2	22339.2	23878.4
A0A140N4R7	A0A140N4R7_ECOBD	ECBD_0508	Protein YcfR	2	2	33462	30586.3	29824.1	25306.3	30672.7	29660.6	31488.9	30412	103975	106349	96225.4	101603	100065	106195	108653	108462
A0A140N4S7	A0A140N4S7_ECOBD	ECBD_0518	Glutathione S-transferase domain protein	8	8	22649.7	27494.4	25724.5	23747.7	26452.6	23297.6	21801.6	21845.8	83254.2	82995.7	73215.5	78026.6	75856.9	81252.8	72562.2	80013.5
A0A140N4S8	A0A140N4S8_ECOBD	bamC	Outer membrane protein assembly factor BamC	10	10	11206.3	11472.6	11728.3	11413.6	10928.6	11727.9	11007.8	10439.7	36454.1	32451.8	34612.8	33286.4	33555.9	32722.8	32632.8	35159.8
A0A140N4V0	A0A140N4V0_ECOBD	ECBD_0538	PTS IIA-like nitrogen-regulatory protein PtsN	6	6	5878.49	4305.91	4425.86	5650.32	5184.65	4086.44	4321.57	5035.44	15746.4	17171.1	15765.8	16221.6	16578.3	16884.2	16066.4	15293.3
A0A140N4V4	A0A140N4V4_ECOBD	ftsE	Cell division ATP-binding protein FtsE	3	3									8415.88	9377.23	7992.85	8239.24	6748.09	7601.34	9240.31	8453.71
A0A140N4W8	A0A140N4W8_ECOBD	ECBD_0288	sn-glycerol-3-phosphate-binding periplasmic protein UgpB	11	11		3266.67	3031.71		4114.12	4459.41	3988.04		8334.51	7743.2	7760.99	8444.08	8043.52	8310.72	8531.95	9099.71
A0A140N4Y2	A0A140N4Y2_ECOBD	ECBD_0385	Peptidyl-prolyl cis-trans isomerase	4	4	23139.1	24666	23700	32234.8	26238.9	28215.3	25751.8	29125.6	97541.1	89236.9	95843.2	96125	98957.6	94858.9	100977	113245
A0A140N4Y5	A0A140N4Y5_ECOBD	asd	Aspartate-semialdehyde dehydrogenase	3	3								7665.23	8037.24	16327.3	15244.4	14911.7	14480.8	15170.6	11927.1	16294.6
A0A140N4Y7	A0A140N4Y7_ECOBD	deaD	ATP-dependent RNA helicase DeaD	16	16	96807.1	60752.2	69687.9	73216.8	82345.1	60393.7	75548.2	71314.8	211652	209121	217435	176822	201928	221671	247695	235428
A0A140N4Y8	A0A140N4Y8_ECOBD	recA	Protein RecA	9	9	15042.2	13922.3	12491.8	13192.1	14141.4	13060	13162.4	15197.2	43607.7	42173.5	45755.4	43716.3	47435.2	45080.7	44127.9	46228.6
A0A140N4Z4	A0A140N4Z4_ECOBD	ECBD_0319	Transcriptional regulator, DeoR family	1	1							1762.94		2364.33	1730.48	1933.62	3034.4	1780.83		1719.32	2737.88
A0A140N4Z6	A0A140N4Z6_ECOBD	ECBD_0588	NAD-dependent epimerase/dehydratase	1	1		1083.91							1663.53	1846.74	822.782	2643.72	2276.12	2117.01	2227.24	2498.33
A0A140N500	A0A140N500_ECOBD	ECBD_1036	Transcriptional regulator, MarR family	7	7	21699.1	17844.1	14218.4	15324.4	18771.3	21355.4	21122.4	17417	65231.8	63042.2	64701	64759.9	60691	64148.6	63078.4	67027.1
A0A140N510	A0A140N510_ECOBD	pckA	Phosphoenolpyruvate carboxykinase (ATP)	19	19	27659.7	25949.6	23873.9	27631	27827.5	27656.5	27573.9	26714.4	93279	87686.4	87934.4	87806.2	92042.5	89030.3	94732	95568.5
